Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,European Archetype
Sean Pedulla,3.721,11.3,2,0.7,4.7,0.143,0.3,2,0.167,0.3,0.7,0.5,0,1.7,1.7,1.7,1,1.3,0,2,5,Yet to be defined
Will Magnay,3.72,13.7,6,3,6,0.5,0,0,0,0,0,0,6,0,6,0,1,1,1,3,-10,Yet to be defined
Marques Bolden,3.7044,12.6,5.5,2,4.5,0.444,0,1.5,0,1.5,1.5,1,1.5,1.5,3,0,0.5,0,1.5,0.5,-2,Yet to be defined
Cameron Brown,3.6933,13.7,3.3,1.3,3.8,0.333,0.3,1.3,0.2,0.5,0.5,1,1,2.8,3.8,1.5,0.5,0.8,0.3,1,-1,Yet to be defined
Jake Stephens,3.68,14.5,3.5,1,2.5,0.4,1,2.5,0.4,0.5,1,0.5,1,2,3,1,0.5,1,0.5,2,-2,3&D Wing
Trevor Keels,3.6473,11.6,6.5,2,4.5,0.444,1.5,3.5,0.429,1,1,1,0,0,0,0.5,1,0,0,0.5,1,Yet to be defined
Dillon Jones,3.6186,15.6,5.7,2,5.3,0.375,0.3,3,0.111,1.3,1.7,0.8,0.3,1.7,2,0.3,1.7,0.3,0,1.7,-8,Yet to be defined
Robert Baker,3.6091,13.2,6.7,2.3,5.3,0.438,0.7,2.3,0.286,1.3,2,0.667,1.3,2.3,3.7,1.3,0,1,0.3,1,-10,Yet to be defined
Zack Austin,3.6084,13.5,3.7,1,3.7,0.273,0.3,3,0.111,1.3,1.3,1,0.3,1,1.3,0.7,0.3,1.3,0,1,1,Yet to be defined
Khalif Battle,3.5941,14.2,4,1,2.7,0.375,0.3,1,0.333,1.7,2,0.833,0.3,1,1.3,1,2,0.3,0.3,2.3,-1,Yet to be defined
Dylan Cardwell,3.59,11.8,1.8,0.8,1.3,0.6,0,0,0,0.3,0.5,0.5,1.5,2.5,4,0.5,1,0,0.8,2,6,Yet to be defined
Boo Buie,3.5755,8.5,6.3,1.7,3.7,0.455,1.3,2.7,0.5,1.7,1.7,1,0.3,1.3,1.7,1,0.3,0,0.3,0.3,1,Yet to be defined
Adama Sanogo,3.5464,12.9,3.3,1.3,1.8,0.714,0,0,0,0.8,1,0.75,2,3.5,5.5,1.8,0.3,0.5,0.5,0.8,-2,Yet to be defined
Solomon Young,3.5367,4.7,6,2,3,0.667,1,2,0.5,1,2,0.5,1,0,1,0,0,0,0,0,10,Yet to be defined
Moussa Cisse,3.5238,14,5.3,2.5,4.3,0.588,0,0,0,0.3,1,0.25,2.5,1.3,3.8,0,0.5,0.8,1.8,2.3,-6,Yet to be defined
Denver Jones,3.4873,13.1,4,1.5,5.5,0.273,0,3,0,1,2,0.5,1,1,2,0.5,1,1,0,2.5,-5,Yet to be defined
Brice Williams,3.476,12.5,6.5,2.5,6.5,0.385,1.5,4,0.375,0,0,0,0.5,0.5,1,1,0.5,0,1,1,-5,Yet to be defined
Warith Alatishe,3.47,15.5,4.3,2,3,0.667,0,0,0,0.3,1,0.333,2,1.3,3.3,0.7,0.3,0.3,1.7,1,-3,Yet to be defined
Anton Watson,3.4633,12.1,5,2,3.3,0.6,0.7,2,0.333,0.3,0.7,0.5,1.7,0.7,2.3,1,0.7,0,0,1.7,-1,Yet to be defined
Akoldah Gak,3.45,12,3,0.5,1.5,0.333,0,0,0,2,3,0.667,1,1.5,2.5,0.5,0.5,0,0,0.5,5,Yet to be defined
Kadary Richmond,3.4186,18.4,2,1,3.5,0.286,0,0.5,0,0,0,0,0,3,3,2.5,2,1,0,2,-5,Yet to be defined
Zyon Pullin,3.4055,19.5,4.5,1,4.5,0.222,0.5,1.5,0.333,2,2,1,1,1.5,2.5,3,1,0,0,0,-12,Yet to be defined
Taevion Kinsey,3.3726,10.4,5.8,2.3,3.5,0.643,0.5,1.5,0.333,0.8,1,0.75,0.8,0.8,1.5,0.3,0.3,1,0,0.5,1,Yet to be defined
Marcus Williams,3.3425,13.8,1,0.5,4,0.125,0,2,0,0,0,0,0.5,1.5,2,2.5,2,0.5,1.5,1.5,0,Yet to be defined
Kylor Kelley,3.3133,17.1,1.5,0.8,2.3,0.333,0,0,0,0,0.5,0,2,4,6,0.5,1.8,0.3,1.5,2.5,-8,Yet to be defined
Chase Hunter,3.3038,11.6,2.5,0.8,4,0.188,0.5,2,0.25,0.5,0.5,1,0.3,1.3,1.5,0.8,1.3,0.5,0,1.5,2,Yet to be defined
Ibrahima Diallo,3.3033,7.9,1.3,0.3,1,0.333,0,0,0,0.7,1.3,0.5,0.7,3,3.7,1,1.3,0,1,1,8,Yet to be defined
Damion Baugh,3.2958,13.7,3,1.3,4.3,0.308,0,1,0,0.3,1.3,0.25,0.3,1,1.3,1.3,1,1,0.3,1.3,0,Yet to be defined
Malik Williams,3.2429,9.2,3.8,1.5,3.3,0.462,0.3,1.5,0.167,0.5,1.3,0.4,1,2.3,3.3,1,0.3,0.3,0.3,1.5,0,Yet to be defined
DaJaun Gordon,3.2315,13.3,3,1,5.5,0.182,1,3,0.333,0,0,0,2,1.5,3.5,0.5,1,1.5,0,2,-7,Yet to be defined
Jacksen Moni,3.2217,7.8,8,3,4,0.75,2,3,0.667,0,0,0,1,1,2,0,0,0,0,0,-1,Yet to be defined
Isaiah Wong,3.2173,12.3,3,1,3.7,0.273,0.3,1.7,0.2,0.7,0.7,1,0,0.3,0.3,0.7,1,0.7,0,1.3,3,Yet to be defined
Jules Bernard,3.2133,13.3,6,2.5,7.5,0.333,0,1.5,0,1,1,1,1,1.5,2.5,1.5,1,0,0,1.5,-11,Yet to be defined
D'Andre Davis,3.1483,11.6,4,1.3,4,0.333,0.7,2.7,0.25,0.7,0.7,1,0.7,1.3,2,0.3,0.3,0.3,0.3,1,-2,Yet to be defined
Hunter Maldonado,3.1341,13.3,4,1.7,3.7,0.455,0.7,2.3,0.286,0,0.3,0,0.7,0.3,1,0.7,0,1.3,0.3,1.3,-1,Yet to be defined
Jaden Akins,3.0986,12.2,4,1,3.3,0.3,0.7,2.3,0.286,1.3,1.3,1,0.3,0.7,1,1,2,1.3,0,2,-5,Yet to be defined
Jamarion Sharp,3.0817,18.1,2.3,1,1.5,0.667,0,0,0,0.3,1,0.25,1.8,2.5,4.3,0,1,0.3,2,1.8,-8,Yet to be defined
Mitch Mascari,3.05,9.6,1.5,0.5,2.5,0.2,0.5,2.5,0.2,0,0,0,0.5,1,1.5,1.5,0.5,0.5,0,1.5,6,Yet to be defined
Arthur Kaluma,3.0055,12.8,4.3,1.7,3.7,0.455,0.7,1.7,0.4,0.3,0.7,0.5,0.3,1.7,2,0.7,0.7,0,0.7,2.7,-6,Yet to be defined
John Poulakidas,3.0014,11.8,2.3,1,4.7,0.214,0.3,3.3,0.1,0,0.3,0,0,1,1,1,0,0.7,0,1.3,1,Yet to be defined
Jonathan Pierre,2.9589,15.2,2.5,1,4.5,0.222,0.5,3,0.167,0,0,0,0,2,2,0.5,0.5,0.5,0,1,-4,Yet to be defined
Jarkel Joiner,2.95,4.5,4,2,2,1,0,0,0,0,1,0,0,2,2,1,0,0,0,1,9,Yet to be defined
James Nnaji,2.9271,11.2,3.3,1,1,1,0,0,0,1.3,2.3,0.571,0.3,1.3,1.7,0.3,0.7,1,0.3,4,-2,Yet to be defined
Dawson Garcia,2.82,11.7,2,1,2,0.5,0,0.5,0,0,0,0,1,2.5,3.5,0.5,1.5,0,0.5,4,-3,Yet to be defined
Dane Goodwin,2.8173,14.2,3.3,1,2.3,0.444,0.8,1.8,0.429,0.5,0.5,1,0.3,0.8,1,0.5,0.3,0.5,0,1.5,-3,Yet to be defined
Jeremy Jones,2.8078,13.6,1.7,0.7,4,0.167,0.3,3,0.111,0,0,0,0.3,1,1.3,0.3,0.3,0.3,0,0,1,Yet to be defined
Dain Dainja,2.8033,13.2,5,2,4,0.5,0,0,0,1,3,0.333,1,2,3,1,2,0,0,3,-13,Yet to be defined
Dwight Murray Jr.,2.78,9.8,3,1.5,3,0.5,0,0,0,0,0,0,0,0.5,0.5,2.5,1,0,0,0.5,5,Yet to be defined
Blake Hinson,2.7589,11.2,4,1.3,5.7,0.235,0.7,4.3,0.154,0.7,0.7,1,0.3,0.7,1,0.3,0.7,0,0.3,0.3,-6,Yet to be defined
Liam Robbins,2.7359,12,2.8,1,3.5,0.286,0.8,2.8,0.273,0,0,0,0,1.8,1.8,1,1.3,0,0.5,3.5,-6,Yet to be defined
Olivier Nkamhoua,2.705,10.4,3.3,1.3,3.3,0.4,0.3,1.3,0.25,0.3,0.7,0.5,0.7,0.7,1.3,1,0.7,0.3,0,0.3,0,Yet to be defined
Ty Brewer,2.665,10.7,3.5,1.5,4.5,0.333,0.3,1.5,0.167,0.3,1,0.25,0.8,0.8,1.5,0,1.5,0.5,0,1.5,-4,Yet to be defined
Quincy Guerrier,2.64,6.4,4,1,1,1,0,0,0,2,2,1,0,0,0,0,0,0,0,1,7,Yet to be defined
Jahmyl Telfort,2.63,9.7,1.7,0.7,0.7,1,0.3,0.3,1,0,0,0,0.3,1.3,1.7,1,0.3,0.3,0,1,5,Yet to be defined
Caleb Grill,2.6265,13,4.7,1.7,4.7,0.357,1.3,4.3,0.308,0,0,0,0,1,1,0.3,0.3,1.3,0,2,-10,Yet to be defined
David Muoka,2.6167,12.5,3.5,1.5,3,0.5,0,0,0,0.5,0.8,0.667,1.3,2,3.3,0.5,1,0.5,0.8,0.8,-7,Yet to be defined
John Ukomadu,2.61,12.6,0.5,0,2.5,0,0,2,0,0.5,1,0.5,1,2,3,0,0.5,0,1.5,3.5,-5,Yet to be defined
Nate Hinton,2.53,11.5,1.5,0.5,5,0.1,0.5,2.5,0.2,0,0,0,1,2,3,0,0,0.5,0.5,3.5,-7,Yet to be defined
Nate Santos,2.5043,8.8,2.8,0.5,3.5,0.143,0.3,2.5,0.1,1.5,1.5,1,0.8,1.8,2.5,0.5,1,0.8,0,1,-6,Yet to be defined
Clifford Omoruyi,2.5,4.5,2,0,0,0,0,0,0,2,4,0.5,0,0,0,1,0,0,1,1,9,Yet to be defined
Trey Jemison III,2.4,10.5,1,0.5,0.5,1,0,0,0,0,0,0,0.5,1.5,2,1,1.5,0.5,0,1.5,2,Yet to be defined
Erik Reynolds II,2.3093,9.4,3.5,1.3,3.3,0.385,0.8,2,0.375,0.3,0.8,0.333,0,0.5,0.5,1,1,0.8,0,0.8,-4,Yet to be defined
Andrew Carr,2.2675,11.2,2.3,1,2.7,0.375,0,1.3,0,0.3,0.7,0.5,0.7,2,2.7,0.3,0.3,0,0.3,1,-5,Yet to be defined
Tyreke Key,2.25,4.5,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,Yet to be defined
Brandon Angel,2.23,7.8,2,1,2,0.5,0,1,0,0,0,0,0,1,1,0,0,0.5,0,1.5,4,Yet to be defined
Devone Grant,2.2029,8,3,1,3.3,0.3,1,2.3,0.429,0,0,0,0,0.7,0.7,2,1.7,0.3,0,1.3,-4,Yet to be defined
Moses Brown,2.0967,4.9,2,0.3,0.7,0.5,0,0,0,1.3,2,0.667,1.7,2,3.7,0.3,0.3,0.3,0,1.3,-1,Yet to be defined
Will Baker,2.09,6.9,2,0,1,0,0,0,0,2,2,1,0,0,0,0,0,1,0,1,4,Yet to be defined
R.J. Felton,2.06,3.6,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,7,Yet to be defined
Wooga Poplar,2.0584,13.3,4.7,1.3,4.3,0.308,0.3,2.3,0.143,1.7,2,0.833,0,1,1,0.7,0.7,0,0,1,-15,Yet to be defined
Chibuzo Agbo,2.0067,5.9,2.5,1,1.5,0.667,0.5,1,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0.5,5,Yet to be defined
Garrison Brooks,1.96,14.1,1,0,0,0,0,0,0,1,2,0.5,0,3,3,0,2,0,0,2,-9,Yet to be defined
Izan Almansa,1.9467,7.7,3.3,1,2,0.5,0,0,0,1.3,2,0.667,0.7,0.7,1.3,0,0.3,0.3,0,1.7,-4,Yet to be defined
Rocco Zikarsky,1.9417,6.5,2.3,1,1.5,0.667,0,0,0,0.3,1,0.25,1,1.5,2.5,0.8,0.5,0.3,0.3,1,-2,Yet to be defined
Saint Thomas,1.935,7.7,1.3,0.7,2.7,0.25,0,1,0,0,0,0,1,2,3,0.7,0,0,0.3,0.7,-2,Yet to be defined
Keyontae Johnson,1.9333,8,1.5,0.5,1.5,0.333,0,0.5,0,0.5,1,0.5,0.5,1,1.5,1,0,0,0,2,-1,Yet to be defined
Josh Uduje,1.93,6.3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10,Yet to be defined
Jordan Gainey,1.89,5.9,2,0.5,0.5,1,0,0,0,1,1,1,0,1,1,1,0,0.5,0.5,0,2,Yet to be defined
Tyson Degenhart,1.85,4.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,9,Yet to be defined
AJ Hoggard,1.8433,8.6,2.5,1,3,0.333,0,1,0,0.5,0.5,1,0.5,0.5,1,0.5,1,0,0,1.5,-5,Yet to be defined
Julian Reese,1.82,7.7,1,0,1,0,0,0,0,1,2,0.5,1,1,2,1,2,0,0,2,-4,Yet to be defined
Nolan Hickman,1.8033,8.2,1.5,0.5,1.5,0.333,0.5,0.5,1,0,0,0,0,2,2,1,2.5,0,0,0.5,-4,Yet to be defined
Wade Taylor IV,1.8,9,0,0,2.5,0,0,2,0,0,0,0,0,1.5,1.5,3,0.5,0.5,0,3.5,-6,Yet to be defined
Daniel Batcho,1.79,7.4,8,3,3,1,1,1,1,1,2,0.5,0,0,0,0,1,0,0,2,-14,Yet to be defined
Aaron Estrada,1.78,11.8,4,2,4,0.5,0,0.5,0,0,0,0,0,0.5,0.5,1,1.5,0,0.5,0,-9,Yet to be defined
Steven Ashworth,1.7033,6.9,2.7,0.7,2,0.333,0.3,1.7,0.2,1,1,1,0,0.3,0.3,1.3,2.7,0.3,0,1.3,-7,Yet to be defined
Yudai Baba,1.6867,2.2,2.5,1,1.5,0.667,0,0,0,0.5,1,0.5,1,0,1,0,0,0,0,0,5,Yet to be defined
Biwali Bayles,1.6633,4.5,1.7,0.7,1.3,0.5,0.3,1,0.333,0,0,0,0.3,0.7,1,0.7,0,0.3,0.3,1,2,Yet to be defined
Sincere Carry,1.66,10.1,2,1,2,0.5,0,0,0,0,0,0,0,1,1,1,3,1,0,0,-6,Yet to be defined
Keshon Gilbert,1.6329,12.8,4.5,1.5,3.5,0.429,0,0,0,1.5,2.5,0.6,0,0.5,0.5,0.5,2,1,0,1.5,-17,Yet to be defined
Isaac Nogues,1.62,10.2,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,2,-2,Yet to be defined
Nathan Mensah,1.6,7,0,0,1,0,0,0,0,0,0,0,1,1,2,0,1,0,0,4,-1,Yet to be defined
Jalen Hood-Schifino,1.58,14.8,0,0,2.5,0,0,0.5,0,0,0,0,0.5,0.5,1,0,2,0.5,0,3.5,-10,Yet to be defined
Aliou Diarra,1.555,1.8,3,0,0,0,0,0,0,3,4,0.75,0,0,0,0,0,0,0,0,3,Yet to be defined
Jaxson Robinson,1.51,11.4,0,0,1.7,0,0,1.7,0,0,0,0,0.7,0.3,1,0.7,0.3,0,0,1.3,-4,Yet to be defined
Jabri Abdur-Rahim,1.4767,7.1,2,0,4,0,0,4,0,2,3,0.667,0,1,1,1,0,0,0,2,-13,Yet to be defined
Justin McKoy,1.4717,5.2,1.7,0.3,2,0.167,0,1.3,0,1,1.3,0.75,0.3,0.7,1,0,0,0.3,0,0.7,-2,Yet to be defined
Jon Elmore,1.45,11.5,2,0,2,0,0,2,0,2,2,1,0,1,1,1,1,0,0,1,-13,Yet to be defined
Miller Kopp,1.44,11,1.5,0.5,2.5,0.2,0.5,2.5,0.2,0,0,0,0,0,0,0,0,0,0,2.5,-7,Yet to be defined
Andrew Funk,1.34,7.7,1,0.3,1.3,0.25,0.3,1.3,0.25,0,0,0,0,1,1,0.7,0,0,0,0.3,-2,Yet to be defined
Jaden Springer,1.18,16.8,0,0,2,0,0,1,0,0,0,0,1,2,3,1,1,0,0,2,-18,Yet to be defined
Steve Settle III,1.18,12.8,0,0,2,0,0,0,0,0,0,0,0,1,1,0,2,1,0,3,-11,Yet to be defined
Lynn Kidd,1.01,2.6,2,1,2,0.5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Yet to be defined
Lance Ware,0.99,2.4,0,0,0.5,0,0,0,0,0,1,0,0.5,0,0.5,0,0,0,0,0,5,Yet to be defined
Selton Miguel,0.9733,4.9,1,0.5,1.5,0.333,0,0.5,0,0,0,0,0,1.5,1.5,0,0.5,0,0,0.5,-3,Yet to be defined
Buddy Boeheim,0.95,8.5,0,0,3.5,0,0,3.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0.5,-8,Yet to be defined
Josiah-Jordan James,0.945,12.2,2,1,4,0.25,0,1,0,0,0,0,0,0,0,1,2,1,0,0,-15,Yet to be defined
William Hickey,0.9,4,2,0,0.5,0,0,0,0,2,2,1,1,0.5,1.5,0,0.5,0,0,1,-7,Yet to be defined
Mady Sissoko,0.86,3.1,1,0.5,0.5,1,0,0,0,0,0,0,0.5,0.5,1,0,0.5,0.5,0,1.5,-2,Yet to be defined
James Caron Butler Jr.,0.84,4.4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,-1,Yet to be defined
Landers Nolley II,0.78,5.8,2,0,0,0,0,0,0,2,2,1,0,0,0,2,0,0,0,0,-7,Yet to be defined
Noah Farrakhan,0.69,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Yet to be defined
John Butler Jr.,0.67,1.7,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,Yet to be defined
Lance Terry,0.66,2.6,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Yet to be defined
Lazar Stefanovic,0.66,2.6,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Yet to be defined
Keisei Tominaga,0.58,1.8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,Yet to be defined
Terrence Hargrove Jr.,0.55,3.5,2,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,-5,Yet to be defined
Cesare Edwards,0.51,3.5,0,0,1.3,0,0,1,0,0,0,0,0,0.7,0.7,0.3,0,0,0.3,0.3,-3,Yet to be defined
Josh Oduro,0.44,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,-3,Yet to be defined
Aaron Scott,0.43,5.3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,-9,Yet to be defined
Jamiya Neal,0.4,4,0,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,-6,Yet to be defined
Kerwin Walton,0.3733,3.1,0.5,0.3,0.8,0.333,0,0.5,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0.3,-3,Yet to be defined
Stefan Todorovic,0.36,5.6,0.5,0,1.5,0,0,0,0,0.5,1,0.5,0,0.5,0.5,0,1,0,0,0,-8,Yet to be defined
Dajuan Harris Jr.,0.34,3.4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-3,Yet to be defined
Zeke Mayo,0.2,8.5,0,0,0.5,0,0,0.5,0,0,0,0,0,1,1,0.5,1,1,0,1,-13,Yet to be defined
Steve Crowl,0.07,5.7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,-8,Yet to be defined
CJ Fulton,0.06,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-4,Yet to be defined
J'Wan Roberts,-0.02,7.8,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-11,Yet to be defined
Romeo Weems,-0.02,3.8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-7,Yet to be defined
James Banks III,-0.04,5.6,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,-10,Yet to be defined
Zach Hicks,-0.21,1.9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-7,Yet to be defined
Ben Gregg,-0.31,1.9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-7,Yet to be defined
Hayden Gray,-0.31,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-7,Yet to be defined
Efton Reid III,-0.37,1.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,Yet to be defined
Patrick McCaffery,-0.45,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-13,Yet to be defined
