Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,European Archetype
Spencer Jones,6.7101,25.2,11,4,7.3,0.545,1.7,4.3,0.385,1.3,2.3,0.571,1.3,2,3.3,0.3,1,1.3,0.3,6,-7,Yet to be defined
Khaman Maluach,6.6826,23.3,10,3.3,9.3,0.357,1,4.3,0.231,2.3,5.3,0.438,2,3.7,5.7,0.3,2.3,0.7,1.3,4,-13,Yet to be defined
Isaiah Stevens,6.6822,18.7,7.5,2.5,5.5,0.455,1,2,0.5,1.5,2.3,0.667,1,1.8,2.8,3.5,0.8,1,0,1.3,12,3&D Wing
Johnny Furphy,6.6684,22.9,11.3,4.3,8.3,0.52,1,4,0.25,1.7,2.3,0.714,0.3,3.7,4,2.3,2.7,1,0.7,2.7,-8,Yet to be defined
Javonte Cooke,6.6535,20.1,10.3,3.7,10,0.367,2.3,6.3,0.368,0.7,0.7,1,0,3,3,1.7,1.3,0.7,0,3,-2,Yet to be defined
Alijah Martin,6.6221,15.4,7,2.7,7.7,0.348,1,3.7,0.273,0.7,0.7,1,0.7,1.7,2.3,2.3,2,1,0,1.7,14,Yet to be defined
Jordan Hall,6.6081,21.8,8.8,3.5,8.3,0.424,1.3,3.5,0.357,0.5,0.5,1,1,3.3,4.3,3.8,1.8,0.8,0.3,2.8,-2,Yet to be defined
James Bouknight,6.5744,17.8,9.3,2.7,4.3,0.615,1,2.3,0.429,3,3,1,0.3,3.3,3.7,3.3,1.7,1.3,1,0.7,5,3&D Wing
Reece Beekman,6.5516,22.8,7.3,2,6.3,0.316,0,2,0,3.3,3.3,1,0.3,3,3.3,6.3,3.7,2,0.3,2.3,-4,Yet to be defined
Maozinha Pereira,6.5457,23.2,10,3.7,7,0.524,1.3,4,0.333,1.3,1.7,0.8,1,3.3,4.3,1,1.3,0,1,3.7,-4,Yet to be defined
Caleb Daniels,6.5319,19.3,8.8,3,5.5,0.545,1.3,3,0.417,1.5,1.8,0.857,1.3,4,5.3,1.8,0.8,0.8,0,3.3,2,Yet to be defined
Yves Missi,6.5298,24.2,7.3,3,10.3,0.29,0,0,0,1.3,4.3,0.308,4.3,6.3,10.7,0.3,0.7,0.7,2,3.3,-14,Yet to be defined
Kira Lewis Jr.,6.5111,25.5,7.3,2.3,6.3,0.368,0.3,2.3,0.143,2.3,3.3,0.7,0.7,3.7,4.3,3,2.7,0.3,0.3,2.3,-3,Yet to be defined
DJ Carton,6.4842,18.5,9.7,3.3,6,0.556,0.7,2.3,0.286,2.3,3.3,0.7,1.3,3.3,4.7,2.3,2.3,1.3,0,2,0,Yet to be defined
Taelon Peter,6.4796,25.7,10.3,4.3,7.7,0.565,1,4.3,0.231,0.7,0.7,1,0.3,1.7,2,2,1.7,1,0.3,1.3,-2,Yet to be defined
Jaylan Gainey,6.46,20.6,6,1,3,0.333,0,0,0,4,6,0.667,5,5,10,0,0,2,2,3,-4,Yet to be defined
Kevon Harris,6.4107,22.5,13,4.5,9.5,0.474,1.5,5,0.3,2.5,3,0.833,1,1.5,2.5,2.5,1,2.5,0,2,-12,Yet to be defined
Max Shulga,6.3967,22.6,6,1.7,6,0.278,0.3,3,0.111,2.3,3,0.778,0,1.3,1.3,4.3,0.3,1.7,0.3,3.7,5,Euro Facilitator
Phillip Wheeler,6.3863,17.9,13.3,3.3,5.3,0.625,0.3,1,0.333,6.3,7,0.905,1.7,0.7,2.3,0.3,1,0.3,1.3,3,-3,Yet to be defined
Yuki Kawamura,6.3838,23.2,7,2.3,6.5,0.346,0.8,3.5,0.214,1.8,2.3,0.778,0,2,2,5.8,3.5,2.3,0,4.5,-5,Yet to be defined
Tyrell Harrison,6.38,20.7,8,3,5,0.6,0,0.3,0,2,4,0.5,2,3.3,5.3,0.7,3.3,0.7,0.7,1.7,2,Yet to be defined
Antonio Reeves,6.3529,20.6,13.5,4.5,10.5,0.429,0.3,2.5,0.1,4.3,4.3,1,1.3,2,3.3,0.3,0.8,1,0,1.8,-9,Yet to be defined
Amari Bailey,6.3378,16,8.3,3,7.3,0.414,0.5,1.8,0.286,1.8,2.3,0.778,1.3,2.5,3.8,3.5,2.8,0.5,0.5,1,5,Yet to be defined
E.J. Liddell,6.3283,22.4,7.7,2.3,6.7,0.35,0.7,2.7,0.25,2.3,4,0.583,2.7,3.7,6.3,0.3,3,0,2,3.3,-8,Yet to be defined
Jack White,6.2433,21.2,6,2,5,0.4,1,3,0.333,1,1,1,0,1.5,1.5,1.5,1,2,1.5,0.5,11,Yet to be defined
Jalen Bridges,6.2286,17.5,8,3,6,0.5,1,3.5,0.286,1,2,0.5,1,2.5,3.5,0,0.5,1.5,1.5,1.5,7,Yet to be defined
Hunter Sallis,6.2009,24.5,5.5,2,8.3,0.242,0,2.5,0,1.5,2.3,0.667,0.5,2.8,3.3,1.8,1.8,1.5,0.8,1,1,Yet to be defined
Nolan Traore,6.1722,22.8,7.3,2.3,7.7,0.304,0.3,2.3,0.143,2.3,2.7,0.875,0.7,2.7,3.3,2.7,2.3,0,0,3,-2,Yet to be defined
Adem Bona,6.155,22.2,7.7,3.7,6.7,0.55,0,0.3,0,0.3,0.7,0.5,3,3.3,6.3,1,3.3,1,3.7,3.3,-6,Yet to be defined
