Player,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,#ERROR!
Javonte Cooke,1,22.9,18,7,15,46.7,4,8,50,0,0,0,0,6,6,2,1,1,0,4,9
Jaylen Wells,2,25.3,18,5,13,38.5,2,6,33.3,6,6.5,92.3,1,4,5,3,2,1.5,0.5,4,-5
Liam McNeeley,2,29.1,18,5.5,13.5,40.7,3,7,42.9,4,4.5,88.9,3,5.5,8.5,4,1.5,0.5,0,1.5,3
M.J. Walker Jr.,1,18.3,18,6,9,66.7,6,9,66.7,0,0,0,1,2,3,1,1,0,0,3,10
Nique Clifford,2,26.6,18,6.5,12.5,52,2,3.5,57.1,3,5,60,1.5,6.5,8,4,3,1.5,0.5,4.5,5
Tidjane Salaün,2,27.8,18,5.5,11.5,47.8,1.5,6,25,5.5,8.5,64.7,2,4.5,6.5,1.5,2,0,1,4,-4
Tre Johnson,1,27.8,18,7,13,53.8,3,5,60,1,2,50,2,1,3,2,3,1,0,0,-16
Enrique Freeman,2,26.7,17,4.5,7,64.3,1,2,50,7,9,77.8,3.5,5.5,9,1.5,2,1,2,3,-2
Jordan Walsh,1,27.1,17,6,12,50,3,6,50,2,4,50,0,3,3,2,3,0,0,1,6
Matas Buzelis,1,25,17,4,14,28.6,2,8,25,7,7,100,0,5,5,1,4,1,2,3,-23
Pacôme Dadiet,1,24.7,17,8,13,61.5,1,3,33.3,0,1,0,1,0,1,1,3,0,1,3,-15
Ryan Dunn,1,28.9,17,7,12,58.3,2,5,40,1,2,50,1,4,5,4,1,2,0,2,13
Ajay Mitchell,2,27,16.5,5,12,41.7,1.5,4.5,33.3,5,6.5,76.9,1,4.5,5.5,4.5,6.5,1.5,0.5,4.5,20
Jamaree Bouyea,2,23.4,16.5,6.5,14.5,44.8,3.5,7,50,0,0,0,1,2.5,3.5,4,0,2.5,0.5,1.5,-1
Judah Mintz,2,27.1,16.5,3.5,10,35,0.5,2,25,9,13,69.2,0.5,2,2.5,3.5,0.5,0.5,0,3.5,-12
Maxime Raynaud,2,27.8,16.5,7,13,53.8,1.5,4.5,33.3,1,1,100,2,3.5,5.5,2,0.5,1,0,4.5,7
Alijah Martin,1,21.3,16,6,12,50,2,4,50,2,2,100,0,5,5,5,3,2,0,2,36
Boogie Ellis,1,19,16,4,8,50,4,6,66.7,4,4,100,0,4,4,3,3,0,0,2,25
Cam Spencer,2,27,16,5,12,41.7,2,5,40,4,4,100,1.5,2,3.5,3,2.5,0.5,0,4,1
Dylan Harper,1,19.6,16,5,12,41.7,0,4,0,6,7,85.7,1,5,6,2,2,2,1,5,1
Ethan Thompson,1,24.8,16,4,10,40,3,6,50,5,5,100,0,0,0,1,3,0,1,7,-2
GG Jackson,1,29,16,5,10,50,1,3,33.3,5,9,55.6,1,3,4,2,2,0,0,2,-3
Isaiah Collier,1,28.1,16,6,10,60,2,3,66.7,2,2,100,2,4,6,9,6,2,0,3,-2
Pelle Larsson,1,26.6,16,3,10,30,1,7,14.3,9,11,81.8,0,2,2,3,3,1,0,3,-7
Tolu Smith,1,26.4,16,6,13,46.2,0,0,0,4,7,57.1,6,5,11,2,3,1,2,5,22
Alex Sarr,1,30.6,15,5,10,50,1,3,33.3,4,4,100,1,3,4,2,4,1,3,2,-14
Antonio Reeves,2,22.5,15,5.5,11,50,0.5,2,25,3.5,3.5,100,1.5,2,3.5,0,0,2,0,2,-9
Dalton Knecht,1,25.8,15,6,16,37.5,3,7,42.9,0,0,0,2,2,4,2,0,1,0,1,10
Jonathan Mogbo,1,20.5,15,7,8,87.5,0,0,0,1,2,50,2,1,3,2,3,3,1,1,29
MarJon Beauchamp,1,26.1,15,6,15,40,0,4,0,3,5,60,1,1,2,0,1,0,1,2,-24
Rob Dillingham,2,29.8,15,5,14.5,34.5,2.5,6,41.7,2.5,2.5,100,0.5,3,3.5,7.5,5.5,2.5,0,1.5,7
Jeremiah Fears,2,27.6,14.5,4.5,16.5,27.3,1,5.5,18.2,4.5,5.5,81.8,0.5,1.5,2,1,5,1,0,6,-11
Lester Quinones,2,21.5,14.5,5,10.5,47.6,4,7,57.1,0.5,1,50,0,3.5,3.5,2,2,2,0,5.5,-1
Armando Bacot,2,22.8,14,5.5,11,50,0,2,0,3,3,100,3.5,5.5,9,2,1.5,0.5,2.5,5.5,0
Charles Bassey,1,18.5,14,7,8,87.5,0,0,0,0,0,0,7,4,11,0,1,0,2,0,20
Jase Richardson,1,22.3,14,5,8,62.5,2,3,66.7,2,2,100,0,1,1,1,1,1,0,4,4
Khaman Maluach,1,21,14,5,13,38.5,1,6,16.7,3,4,75,1,4,5,1,2,1,2,2,-6
Kobe Brown,1,20.2,14,5,7,71.4,2,3,66.7,2,2,100,2,2,4,4,3,2,0,1,1
Miles Kelly,2,27.8,14,4.5,10,45,2.5,7,35.7,2.5,2.5,100,1,2,3,1,0.5,1.5,0.5,2.5,-2
RayJ Dennis,2,28.1,14,4.5,13,34.6,2,6,33.3,3,3.5,85.7,0.5,2.5,3,6.5,4.5,2,1,1,-4
Sidy Cissoko,2,24,14,5.5,10.5,52.4,1.5,4,37.5,1.5,1.5,100,0.5,4,4.5,2.5,3,2,0.5,4.5,12
Skal Labissiere,1,17.4,14,5,8,62.5,0,2,0,4,4,100,1,4,5,1,1,0,2,3,9
Dominick Barlow,2,22.1,13.5,6,10,60,0.5,2.5,20,1,1,100,4,3,7,1.5,1,1.5,0,2.5,-7
James Bouknight,2,21.9,13,3.5,5.5,63.6,1.5,3,50,4.5,4.5,100,0.5,5,5.5,4,2.5,1.5,1.5,0.5,10
Jamison Battle,1,21.5,13,5,7,71.4,3,5,60,0,0,0,0,0,0,1,3,1,0,3,9
Kevin McCullar Jr.,1,27.8,13,5,14,35.7,1,5,20,2,2,100,3,3,6,3,3,1,0,3,-18
Leonard Miller,2,23.4,13,5.5,13,42.3,1,5.5,18.2,1,1,100,1,7,8,0.5,2.5,1.5,2.5,3.5,-1
Nolan Traore,1,26.1,13,3,5,60,1,3,33.3,6,6,100,1,2,3,3,3,0,0,3,1
Rayan Rupert,2,23.7,13,3,6,50,1.5,2,75,5.5,5.5,100,1.5,4.5,6,3.5,2,2,0,3.5,11
Tosan Evbuomwan,1,24.3,13,4,8,50,1,2,50,4,4,100,1,3,4,3,5,1,1,5,-3
Trentyn Flowers,1,27.6,13,5,11,45.5,1,5,20,2,3,66.7,3,3,6,1,4,1,0,3,7
Tyrese Proctor,2,28.5,13,4,12,33.3,3,7.5,40,2,3.5,57.1,0.5,2.5,3,3,1,1.5,0.5,2,2
Derik Queen,2,26.7,12.5,4.5,10.5,42.9,0.5,1,50,3,5,60,2.5,9,11.5,2,4.5,0.5,0.5,5,-4
Hunter Tyson,2,28.5,12.5,4.5,14,32.1,1.5,5.5,27.3,2,3,66.7,1,8,9,1,1,1,0,1,-8
Jaylen Sims,2,20.2,12.5,4.5,6,75,0.5,1,50,3,4,75,2,2,4,1.5,1.5,2.5,0,1.5,7
Nikola Topić,2,25.9,12.5,4.5,12,37.5,1.5,3.5,42.9,2,2,100,1,1.5,2.5,8,3,1.5,0,3,17
Pete Nance,2,28.1,12.5,4.5,10,45,2,5,40,1.5,2.5,60,0.5,5,5.5,2.5,1.5,1,2,3,4
Adam Flagler,1,20.4,12,4,8,50,1,5,20,3,4,75,1,1,2,2,0,1,0,2,0
Cormac Ryan,2,19.5,12,3.5,9,38.9,2,5.5,36.4,3,3.5,85.7,0,0,0,1,1.5,1,0.5,2,-1
Eli John Ndiaye,1,20.8,12,4,8,50,1,4,25,3,4,75,4,2,6,2,0,1,1,3,8
Hugo González,1,28.2,12,4,12,33.3,3,5,60,1,5,20,2,2,4,5,3,1,2,3,11
Ja'Kobe Walter,1,21.5,12,4,12,33.3,1,5,20,3,3,100,0,3,3,2,4,1,0,2,25
Jackson Rowe,1,25,12,5,7,71.4,1,2,50,1,1,100,0,3,3,1,2,1,0,2,-29
Jazian Gortman,2,18.3,12,5.5,9,61.1,1,3,33.3,0,0,0,0,2,2,1.5,1.5,0,0,0.5,-5
Phillip Wheeler,2,18.6,12,3,4.5,66.7,0.5,1,50,5.5,6,91.7,1.5,0.5,2,0,1.5,0.5,1.5,3.5,-9
Will Richard,1,22.6,12,5,9,55.6,0,3,0,2,3,66.7,2,2,4,3,0,3,1,3,-8
Brooks Barnhizer,2,26.4,11.5,5,10.5,47.6,0.5,3.5,14.3,1,3,33.3,0.5,5.5,6,2.5,1.5,6.5,0.5,1.5,15
DJ Steward,2,24.3,11.5,4.5,14,32.1,2,3.5,57.1,0.5,0.5,100,2,3.5,5.5,4,2,1.5,0.5,1.5,10
DaRon Holmes II,2,24.9,11.5,4.5,7.5,60,2.5,5,50,0,0,0,1,4,5,0.5,1,0,0.5,2.5,-5
Norchad Omier,2,20.9,11.5,5,9.5,52.6,0,0.5,0,1.5,2.5,60,4,4,8,1,3.5,1.5,0.5,5.5,-7
Riley Minix,2,25.2,11.5,4,8.5,47.1,3,6,50,0.5,0.5,100,1,4,5,1.5,1,0.5,0,3,14
Ryan Nembhard,2,31.8,11.5,4.5,12,37.5,0.5,3,16.7,2,2,100,0,2.5,2.5,6,4,1,0,4,5
Taelon Peter,2,25.3,11.5,5,7.5,66.7,1.5,4,37.5,0,0,0,0.5,2,2.5,1.5,1,1,0,1,4
Tristan Enaruna,2,18.3,11.5,4,6,66.7,1,2.5,40,2.5,5,50,0,1,1,2,0.5,0,0,1,11
Tyrell Harrison,2,23.7,11.5,4.5,7,64.3,0,0,0,2.5,5,50,3,3.5,6.5,1,1.5,1,1,1.5,6
AJ Johnson,1,20.7,11,4,9,44.4,0,3,0,3,4,75,0,3,3,1,1,1,0,0,-8
