Player,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,#ERROR!
Ty Brewer,2,11.5,4.5,2,4.5,44.4,0.5,1.5,33.3,0,1,0,1.5,1.5,3,0,1,1,0,1,-4
Aaron Estrada,2,11.8,4,2,4,50,0,0.5,0,0,0,0,0,0.5,0.5,1,1.5,0,0.5,0,-9
Andre Jackson Jr.,2,21,4,1,2.5,40,1,1.5,66.7,1,1,100,1,2,3,3,2.5,0,0,4.5,2
Bub Carrington,1,32.2,4,1,9,11.1,1,5,20,1,2,50,1,2,3,5,0,2,0,2,-10
Chaney Johnson,1,14.3,4,1,2,50,0,1,0,2,2,100,1,4,5,0,3,0,0,3,10
Daeqwon Plowden,2,12.8,4,1,4,25,1,3,33.3,1,1,100,0,3,3,1,0,0,0.5,0.5,5
Danny Wolf,1,20,4,0,5,0,0,3,0,4,4,100,0,6,6,2,4,0,1,2,-3
Dawson Garcia,1,13.6,4,2,3,66.7,0,1,0,0,0,0,2,3,5,1,2,0,1,6,-4
Jahmai Mashack,1,24.5,4,2,8,25,0,2,0,0,0,0,1,4,5,4,3,0,2,1,4
James Nnaji,1,11.4,4,1,1,100,0,0,0,2,4,50,0,0,0,0,1,1,1,6,-2
Jamir Watkins,1,14.2,4,2,4,50,0,1,0,0,0,0,0,1,1,0,0,3,0,2,-7
Jarkel Joiner,1,4.5,4,2,2,100,0,0,0,0,1,0,0,2,2,1,0,0,0,1,9
John Poulakidas,1,13.3,4,2,9,22.2,0,6,0,0,1,0,0,1,1,1,0,1,0,2,0
Kira Lewis Jr.,1,26,4,1,6,16.7,0,2,0,2,2,100,0,5,5,7,1,0,0,3,-6
Quincy Guerrier,1,6.4,4,1,1,100,0,0,0,2,2,100,0,0,0,0,0,0,0,1,7
Steven Ashworth,2,9.1,4,1,2.5,40,0.5,2,25,1.5,1.5,100,0,0.5,0.5,1.5,3.5,0.5,0,1.5,-9
William Hickey,1,4.5,4,0,1,0,0,0,0,4,4,100,2,1,3,0,1,0,0,2,-9
Carter Bryant,2,22.9,3.5,0.5,6.5,7.7,0.5,4.5,11.1,2,2,100,0.5,3,3.5,1.5,3,0.5,2,3,12
Hunter Dickinson,2,12.1,3.5,1.5,2.5,60,0,0.5,0,0.5,1.5,33.3,0.5,2,2.5,1.5,1.5,0.5,1.5,2,3
Olivier Nkamhoua,2,12.1,3.5,1.5,3.5,42.9,0.5,1.5,33.3,0,0,0,1,0.5,1.5,1,1,0,0,0.5,-2
Yuki Kawamura,2,20.5,3.5,1,5,20,1,4.5,22.2,0.5,1,50,0,2,2,3.5,4,2,0,3.5,-19
Andrew Funk,1,13.8,3,1,2,50,1,2,50,0,0,0,0,0,0,2,0,0,0,1,4
Ben Saraf,1,17.6,3,1,5,20,0,1,0,1,2,50,1,0,1,2,2,0,0,2,-11
Caleb Daniels,1,11.5,3,0,2,0,0,2,0,3,4,75,0,1,1,0,0,0,0,2,-15
Chris Ledlum,1,14.8,3,1,2,50,1,1,100,0,0,0,1,2,3,1,2,0,0,2,-3
