Player,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus ,MSR,Contract Status,Euro Archetype Tag
Trentyn Flowers,1,27.6,13,5,11,0.455,1,5,0.2,2,3,0.667,3,3,6,1,4,1,0,3,7,11.39,Unknown,Unassigned
Tyrell Harrison,1,23.6,13,5,8,0.625,0,0,0.0,3,6,0.5,3,5,8,1,1,1,0,1,14,10.255,Unknown,Unassigned
Yves Missi,1,25.8,13,5,14,0.357,0,0,0.0,3,9,0.3329999999999999,6,7,13,0,1,2,0,1,-11,7.89,Unknown,Unassigned
Adam Flagler,1,20.4,12,4,8,0.5,1,5,0.2,3,4,0.75,1,1,2,2,0,1,0,2,0,10.57,Unknown,Unassigned
Cameron Tyson,1,11.5,12,4,6,0.667,4,6,0.667,0,0,0.0,0,0,0,2,0,0,0,1,10,9.495,Unknown,Unassigned
E.J. Liddell,1,27.6,12,4,10,0.4,1,4,0.25,3,4,0.75,7,4,11,0,2,0,0,5,-13,11.08,Unknown,Unassigned
Eli John Ndiaye,1,20.8,12,4,8,0.5,1,4,0.25,3,4,0.75,4,2,6,2,0,1,1,3,8,11.69,Unknown,Stretch Big / Rim Protector
Hugo González,1,28.2,12,4,12,0.3329999999999999,3,5,0.6,1,5,0.2,2,2,4,5,3,1,2,3,11,10.825,Unknown,Unassigned
Hunter Tyson,1,27.8,12,4,14,0.286,1,6,0.1669999999999999,3,5,0.6,2,9,11,2,1,2,0,1,-6,10.005,Signed,Unassigned
Ja'Kobe Walter,1,21.5,12,4,12,0.3329999999999999,1,5,0.2,3,3,1.0,0,3,3,2,4,1,0,2,25,12.74,Unknown,Unassigned
Jackson Rowe,1,25.0,12,5,7,0.7140000000000001,1,2,0.5,1,1,1.0,0,3,3,1,2,1,0,2,-29,12.92,Unknown,3&D Wing
Keve Aluma,1,20.2,12,5,10,0.5,2,6,0.3329999999999999,0,0,0.0,1,2,3,0,0,3,1,1,-11,6.925,Unknown,Unassigned
Will Richard,1,22.6,12,5,9,0.556,0,3,0.0,2,3,0.667,2,2,4,3,0,3,1,3,-8,9.445,Unknown,Unassigned
AJ Johnson,1,20.7,11,4,9,0.444,0,3,0.0,3,4,0.75,0,3,3,1,1,1,0,0,-8,8.755,Undrafted,Unassigned
Isaac Jones,1,27.1,11,2,3,0.667,0,0,0.0,7,9,0.778,3,3,6,3,4,2,1,4,-2,11.38,Unknown,Stretch Big / Rim Protector
James Bouknight,1,20.9,11,3,5,0.6,1,2,0.5,4,4,1.0,1,8,9,4,4,1,2,1,32,16.145,Unknown,3&D Wing
Joan Beringer,1,22.9,11,5,6,0.833,0,0,0.0,1,2,0.5,3,5,8,1,1,2,6,2,8,10.86,Unknown,Unassigned
Kenneth Lofton Jr.,1,17.9,11,1,8,0.125,0,0,0.0,9,10,0.9,6,3,9,2,3,0,1,1,13,9.87,Unknown,Stretch Big / Rim Protector
Kyle Mangas,1,18.4,11,4,7,0.5710000000000001,2,5,0.4,1,2,0.5,0,3,3,3,2,0,0,2,8,10.925,Unknown,Unassigned
Micah Peavy,1,24.9,11,5,9,0.556,1,2,0.5,0,0,0.0,3,4,7,0,2,2,0,7,-20,8.175,Unknown,Unassigned
Oso Ighodaro,1,31.0,11,4,5,0.8,0,0,0.0,3,4,0.75,6,8,14,2,3,3,0,2,4,12.75,Unknown,Unassigned
Vladislav Goldin,1,13.4,11,5,5,1.0,0,0,0.0,1,3,0.3329999999999999,1,0,1,1,3,0,0,0,14,9.585,Unknown,Unassigned
Antonio Reeves,1,21.2,10,5,9,0.556,0,2,0.0,0,0,0.0,0,1,1,0,0,1,0,1,-3,5.19,Unknown,Unassigned
Bobi Klintman,1,31.6,10,3,7,0.429,1,3,0.3329999999999999,3,4,0.75,1,7,8,5,2,2,1,2,22,13.19,Unknown,Euro Facilitator
Boo Buie,1,11.7,10,2,5,0.4,1,3,0.3329999999999999,5,5,1.0,0,3,3,1,1,0,0,0,6,11.5,Unknown,Unassigned
Chaz Lanier,1,24.8,10,4,11,0.364,2,7,0.286,0,0,0.0,1,1,2,4,1,1,1,2,11,7.39,Unknown,Unassigned
Cooper Flagg,1,31.7,10,5,21,0.238,0,5,0.0,0,1,0.0,0,6,6,4,1,3,1,2,-1,5.975,Unknown,Glue Guy
Hansen Yang,1,23.6,10,3,7,0.429,1,3,0.3329999999999999,3,4,0.75,0,4,4,5,3,1,3,6,19,12.54,Unknown,Unassigned
Hason Ward,1,14.4,10,5,6,0.833,0,0,0.0,0,0,0.0,3,1,4,3,1,0,0,4,1,6.785,Unknown,Unassigned
Kel'el Ware,1,26.6,10,4,9,0.444,0,2,0.0,2,2,1.0,3,3,6,0,1,1,1,3,-21,9.85,Unknown,Stretch Big / Rim Protector
Kevon Harris,1,17.2,10,3,7,0.429,2,5,0.4,2,2,1.0,1,0,1,2,2,4,0,2,-6,11.855,Unknown,3&D Wing
Kobe Sanders,1,13.7,10,4,9,0.444,2,4,0.5,0,0,0.0,1,0,1,1,1,1,0,1,5,7.405,Unknown,3&D Wing
Mark Armstrong,1,12.8,10,4,8,0.5,1,3,0.3329999999999999,1,2,0.5,1,0,1,2,1,1,0,1,-12,8.505,Unknown,Unassigned
Ryan Kalkbrenner,1,30.1,10,4,9,0.444,0,1,0.0,2,2,1.0,1,4,5,4,0,1,3,3,9,11.625,Unknown,Unassigned
Saliou Niang,1,22.9,10,4,9,0.444,1,3,0.3329999999999999,1,1,1.0,3,2,5,0,5,1,0,3,-4,12.23,Unknown,Unassigned
Taran Armstrong,1,24.9,10,3,7,0.429,2,4,0.5,2,2,1.0,0,3,3,7,3,4,0,0,-18,12.49,Unknown,3&D Wing
Tristan Enaruna,1,16.0,10,3,4,0.75,2,3,0.667,2,3,0.667,0,1,1,1,1,0,0,1,-1,12.77,Unknown,Unassigned
Tyler Kolek,1,26.6,10,4,11,0.364,0,5,0.0,2,2,1.0,3,3,6,8,5,1,1,2,-14,10.6,Unknown,Stretch Big / Rim Protector
Amari Williams,1,21.5,9,3,3,1.0,0,0,0.0,3,4,0.75,0,3,3,1,3,1,2,3,-6,11.425,Unknown,Unassigned
Gabe McGlothan,1,19.6,9,3,5,0.6,3,5,0.6,0,0,0.0,1,3,4,0,0,1,0,0,13,9.33,Unknown,3&D Wing
Jaden Shackelford,1,19.6,9,3,7,0.429,2,6,0.3329999999999999,1,3,0.3329999999999999,0,2,2,1,1,0,0,2,-18,7.505,Unknown,Unassigned
Jamal Shead,1,21.5,9,4,10,0.4,1,3,0.3329999999999999,0,0,0.0,2,2,4,6,2,2,0,3,28,8.54,Unknown,Unassigned
Jermaine Samuels Jr.,1,27.7,9,3,6,0.5,1,2,0.5,2,3,0.667,2,3,5,0,3,0,0,2,5,12.02,Unknown,Unassigned
Jordan Hall,1,23.2,9,4,6,0.667,1,3,0.3329999999999999,0,0,0.0,2,3,5,4,2,0,1,4,2,8.46,Unknown,Unassigned
Judah Mintz,1,21.8,9,2,7,0.286,0,1,0.0,5,11,0.455,0,0,0,3,0,1,0,0,-30,5.245,Unknown,Unassigned
Keshad Johnson,1,27.6,9,3,8,0.375,1,3,0.3329999999999999,2,2,1.0,1,2,3,3,0,0,1,8,-15,11.47,Unknown,Unassigned
Moses Wood,1,18.3,9,4,11,0.364,1,7,0.143,0,0,0.0,0,2,2,4,1,1,0,2,23,6.8,Unknown,Unassigned
N'Faly Dante,1,25.7,9,4,8,0.5,0,0,0.0,1,2,0.5,4,0,4,1,1,2,3,4,-14,7.735,Unknown,Unassigned
Osayi Osifo,1,19.0,9,4,6,0.667,0,0,0.0,1,1,1.0,2,2,4,3,0,0,1,5,20,12.185,Unknown,Unassigned
Ulrich Chomche,1,18.8,9,4,6,0.667,0,0,0.0,1,2,0.5,4,2,6,1,0,3,1,3,23,10.025,Unknown,Unassigned
Yuri Collins,1,24.8,9,4,7,0.5710000000000001,0,0,0.0,1,1,1.0,0,4,4,6,3,1,0,3,2,11.345,Unknown,Unassigned
Zavier Simpson,1,26.7,9,4,9,0.444,0,3,0.0,1,2,0.5,2,1,3,5,4,2,3,2,2,8.655,Unknown,Unassigned
Aaron Estrada,1,15.7,8,4,6,0.667,0,1,0.0,0,0,0.0,0,1,1,0,2,0,0,0,-11,4.72,Unknown,Unassigned
Adama Sanogo,1,16.4,8,3,4,0.75,0,0,0.0,2,2,1.0,3,5,8,3,0,0,1,1,-11,11.02,Unknown,Stretch Big / Rim Protector
Asa Newell,1,25.9,8,3,9,0.3329999999999999,1,3,0.3329999999999999,1,2,0.5,2,6,8,2,0,2,0,0,17,10.325,Unknown,Unassigned
Baylor Scheierman,1,27.9,8,2,14,0.143,1,8,0.125,3,3,1.0,0,5,5,4,1,0,0,4,5,10.885,Unknown,Euro Facilitator
Bronny James,1,20.9,8,2,8,0.25,1,6,0.1669999999999999,3,4,0.75,0,2,2,2,1,0,0,1,-3,8.73,Rookie,Unassigned
CJ Huntley,1,19.0,8,4,5,0.8,0,0,0.0,0,0,0.0,0,5,5,1,1,1,1,4,25,7.95,Unknown,Unassigned
Curtis Jones,1,14.1,8,3,8,0.375,2,6,0.3329999999999999,0,0,0.0,0,1,1,2,1,0,1,1,-1,5.895,Unknown,Unassigned
Darius Bazley,1,23.2,8,3,6,0.5,1,2,0.5,1,4,0.25,5,6,11,3,2,1,1,4,16,11.11,Unknown,Unassigned
Devin Carter,1,23.6,8,2,14,0.143,0,4,0.0,4,5,0.8,0,3,3,2,1,2,1,3,1,8.545,Unknown,Unassigned
Dominick Barlow,1,13.9,8,3,5,0.6,0,0,0.0,2,2,1.0,3,2,5,1,0,0,0,0,-23,9.095,Unknown,Unassigned
Egor Dëmin,1,22.8,8,2,5,0.4,2,5,0.4,2,2,1.0,1,3,4,0,2,1,0,3,0,12.14,Unknown,Unassigned
Gabe Madsen,1,8.6,8,3,4,0.75,2,3,0.667,0,0,0.0,1,0,1,0,1,0,0,0,-1,8.615,Unknown,Unassigned
Jacksen Moni,1,7.8,8,3,4,0.75,2,3,0.667,0,0,0.0,1,1,2,0,0,0,0,0,-1,8.625,Unknown,Unassigned
Jaylen Clark,1,27.4,8,3,11,0.273,0,5,0.0,2,2,1.0,2,2,4,3,1,2,1,4,13,10.885,Unknown,Unassigned
Johni Broome,1,16.3,8,3,8,0.375,2,3,0.667,0,0,0.0,3,2,5,1,2,1,1,2,-7,7.725,Unknown,3&D Wing
Johnny Furphy,1,9.2,8,3,4,0.75,2,3,0.667,0,0,0.0,0,0,0,1,3,0,0,1,-10,8.295,Unknown,Unassigned
Jules Bernard,1,18.7,8,3,11,0.273,0,2,0.0,2,2,1.0,2,2,4,2,0,0,0,2,-13,8.65,Unknown,Unassigned
Maxwell Lewis,1,19.7,8,2,7,0.286,1,4,0.25,3,4,0.75,2,2,4,3,0,0,1,2,0,9.565,Unknown,Unassigned
Miles Norris,1,21.5,8,2,5,0.4,1,4,0.25,3,3,1.0,1,4,5,0,3,1,1,5,12,12.225,Unknown,Unassigned
Nate Williams,1,31.2,8,4,15,0.267,0,7,0.0,0,0,0.0,2,4,6,3,5,1,0,4,-1,5.795,Unknown,Unassigned
Nikola Đurišić,1,23.8,8,4,10,0.4,0,1,0.0,0,0,0.0,1,2,3,1,2,1,0,8,5,5.49,Unknown,Unassigned
Noah Penda,1,25.9,8,4,9,0.444,0,3,0.0,0,0,0.0,0,3,3,4,2,2,0,2,4,5.715,Unknown,Unassigned
Sidy Cissoko,1,21.1,8,4,7,0.5710000000000001,0,2,0.0,0,0,0.0,1,4,5,2,1,1,0,3,13,6.46,Unknown,Unassigned
Sion James,1,19.0,8,4,7,0.5710000000000001,0,3,0.0,0,0,0.0,1,2,3,3,2,0,0,3,-3,5.455,Unknown,Unassigned
Stanley Umude,1,12.5,8,3,6,0.5,1,3,0.3329999999999999,1,3,0.3329999999999999,1,1,2,0,0,1,0,2,-14,7.355,Unknown,Unassigned
Taelon Peter,1,28.0,8,4,5,0.8,0,1,0.0,0,0,0.0,0,3,3,0,1,2,0,2,12,7.45,Unknown,Unassigned
Tamar Bates,1,17.8,8,3,9,0.3329999999999999,1,2,0.5,1,1,1.0,2,0,2,2,2,3,0,2,7,12.305,Unknown,3&D Wing
Tyson Etienne,1,22.0,8,3,10,0.3,2,6,0.3329999999999999,0,0,0.0,3,1,4,2,2,2,0,4,-1,6.565,Unknown,Unassigned
Zakai Zeigler,1,18.5,8,2,4,0.5,2,2,1.0,2,2,1.0,0,1,1,1,3,1,0,3,-1,14.975,Unknown,Unassigned
Alex Toohey,1,23.5,7,2,9,0.222,1,4,0.25,2,4,0.5,1,2,3,1,2,4,0,2,-47,5.885,Unknown,Unassigned
Amari Bailey,1,9.3,7,2,4,0.5,1,2,0.5,2,2,1.0,0,1,1,2,0,1,0,1,7,12.115,Unknown,3&D Wing
Craig Porter Jr.,1,6.5,7,2,2,1.0,1,1,1.0,2,2,1.0,0,1,1,1,0,0,0,1,9,16.825,Unknown,Unassigned
DJ Carton,1,14.8,7,3,6,0.5,0,2,0.0,1,2,0.5,1,5,6,1,2,0,0,2,1,7.69,Unknown,Unassigned
Darius Brown,1,18.1,7,2,3,0.667,0,1,0.0,3,3,1.0,0,1,1,4,1,1,0,1,1,10.69,Unknown,Euro Facilitator
Harrison Ingram,1,19.4,7,3,7,0.429,1,3,0.3329999999999999,0,0,0.0,1,5,6,4,1,1,0,2,24,8.03,Unknown,Unassigned
Jack McVeigh,1,15.8,7,3,8,0.375,1,4,0.25,0,0,0.0,1,4,5,1,1,1,0,1,-13,5.115,Unknown,Unassigned
Jamal Cain,1,18.3,7,3,4,0.75,1,1,1.0,0,0,0.0,1,2,3,1,0,0,0,2,2,11.015,Unknown,Unassigned
Jameer Nelson Jr.,1,19.9,7,1,5,0.2,0,2,0.0,5,5,1.0,0,2,2,4,5,2,0,2,17,9.945,Unknown,Unassigned
Jazian Gortman,1,15.8,7,3,7,0.429,1,4,0.25,0,0,0.0,0,2,2,1,0,0,0,0,-5,5.285,Unknown,Unassigned
Jesse Edwards,1,15.6,7,3,3,1.0,0,0,0.0,1,2,0.5,0,1,1,1,1,1,1,2,2,9.58,Unknown,Unassigned
Malik Williams,1,13.3,7,3,6,0.5,0,3,0.0,1,1,1.0,0,2,2,1,1,0,1,3,-5,9.465,Unknown,Unassigned
