Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,AST/G,TOV/G,REB/G,STL/G,BLK/G,FTA/G,3PM/G,PF/G,Euro Archetype Tag
Caleb Love,10.5216,26.4,18,7,18.5,0.378,3.5,8,0.438,0.5,1,0.5,0,3.5,3.5,1.5,2,0.5,0.5,2.5,7,0.75,1,1.75,0.25,0.25,0.5,1.75,1.25,
Charles Bassey,11.355,20.3,18,7.5,10,0.75,0,0,0,3,3,1,5.5,6.5,12,0.5,2,1,2.5,2,18,0.25,1,6,0.5,1.25,1.5,0,1,Stretch Big / Rim Protector
Jaylen Wells,9.9441,25.3,18,5,13,0.385,2,6,0.333,6,6.5,0.923,1,4,5,3,2,1.5,0.5,4,-5,1.5,1,2.5,0.75,0.25,3.25,1,2,
Liam McNeeley,11.3825,29.1,18,5.5,13.5,0.407,3,7,0.429,4,4.5,0.889,3,5.5,8.5,4,1.5,0.5,0,1.5,3,2,0.75,4.25,0.25,0,2.25,1.5,0.75,
M.J. Walker Jr.,8.8634,18.3,18,6,9,0.667,6,9,0.667,0,0,0,1,2,3,1,1,0,0,3,10,1,1,3,0,0,0,6,3,
Nique Clifford,11.3291,26.6,18,6.5,12.5,0.52,2,3.5,0.571,3,5,0.6,1.5,6.5,8,4,3,1.5,0.5,4.5,5,2,1.5,4,0.75,0.25,2.5,1,2.25,
Tidjane Salaün,10.3175,27.8,18,5.5,11.5,0.478,1.5,6,0.25,5.5,8.5,0.647,2,4.5,6.5,1.5,2,0,1,4,-4,0.75,1,3.25,0,0.5,4.25,0.75,2,
Kennedy Chandler,9.6362,25,17.5,6,14,0.429,1,3,0.333,4.5,7.5,0.6,2,2,4,3,1.5,1.5,1,2.5,-1,1.5,0.75,2,0.75,0.5,3.75,0.5,1.25,
Enrique Freeman,10.1621,26.7,17,4.5,7,0.643,1,2,0.5,7,9,0.778,3.5,5.5,9,1.5,2,1,2,3,-2,0.75,1,4.5,0.5,1,4.5,0.5,1.5,
Jacob Toppin,11.1719,27.1,17,6.5,11.5,0.565,1.5,3.5,0.429,2.5,4,0.625,3.5,5.5,9,1,1,0.5,0,1,15,0.5,0.5,4.5,0.25,0,2,0.75,0.5,
Koby Brea,8.4942,26.3,17,6.5,12,0.542,3,5,0.6,1,1,1,0.5,4,4.5,1,3.5,1,0,1.5,-5,0.5,1.75,2.25,0.5,0,0.5,1.5,0.75,
Kyshawn George,11.5814,31.5,17,7,17,0.412,2,8.5,0.235,1,1.5,0.667,1.5,6.5,8,4.5,3.5,4,0,5,-4,2.25,1.75,4,2,0,0.75,1,2.5,
Matas Buzelis,8.3536,25,17,4,14,0.286,2,8,0.25,7,7,1,0,5,5,1,4,1,2,3,-23,1,4,5,1,2,7,2,3,
Ryan Dunn,10.8383,28.9,17,7,12,0.583,2,5,0.4,1,2,0.5,1,4,5,4,1,2,0,2,13,4,1,5,2,0,2,2,2,3&D Wing
Ajay Mitchell,12.8019,27,16.5,5,12,0.417,1.5,4.5,0.333,5,6.5,0.769,1,4.5,5.5,4.5,6.5,1.5,0.5,4.5,20,2.25,3.25,2.75,0.75,0.25,3.25,0.75,2.25,
Jamaree Bouyea,8.6848,23.4,16.5,6.5,14.5,0.448,3.5,7,0.5,0,0,0,1,2.5,3.5,4,0,2.5,0.5,1.5,-1,2,0,1.75,1.25,0.25,0,1.75,0.75,3&D Wing
Jase Richardson,8.9865,23.4,16.5,5,9,0.556,1.5,3,0.5,5,5.5,0.909,0,1.5,1.5,2.5,1,0.5,1,4,7,1.25,0.5,0.75,0.25,0.5,2.75,0.75,2,
Judah Mintz,8.3892,27.1,16.5,3.5,10,0.35,0.5,2,0.25,9,13,0.692,0.5,2,2.5,3.5,0.5,0.5,0,3.5,-12,1.75,0.25,1.25,0.25,0,6.5,0.25,1.75,
Maxime Raynaud,10.0171,27.8,16.5,7,13,0.538,1.5,4.5,0.333,1,1,1,2,3.5,5.5,2,0.5,1,0,4.5,7,1,0.25,2.75,0.5,0,0.5,0.75,2.25,
Cam Spencer,9.4817,27,16,5,12,0.417,2,5,0.4,4,4,1,1.5,2,3.5,3,2.5,0.5,0,4,1,1.5,1.25,1.75,0.25,0,2,1,2,
Dylan Harper,9.5874,19.6,16,5,12,0.417,0,4,0,6,7,0.857,1,5,6,2,2,2,1,5,1,2,2,6,2,1,7,0,5,Stretch Big / Rim Protector
GG Jackson,9.0389,29,16,5,10,0.5,1,3,0.333,5,9,0.556,1,3,4,2,2,0,0,2,-3,2,2,4,0,0,9,1,2,
Jalen Bridges,9.0333,22.9,16,6,10,0.6,2,6,0.333,2,4,0.5,1,4,5,0,0,2,2,2,4,0,0,5,2,2,4,2,2,3&D Wing
Alex Sarr,10.553,29.6,15.5,6,12.5,0.48,0.5,2.5,0.2,3,4,0.75,2.5,5.5,8,2,4,0.5,5.5,1.5,1,1,2,4,0.25,2.75,2,0.25,0.75,
Kel'el Ware,7.9336,26.7,15.5,6,11.5,0.522,1,2.5,0.4,2.5,3.5,0.714,2.5,5,7.5,0,1,1,2,3.5,-14,0,0.5,3.75,0.5,1,1.75,0.5,1.75,
Tolu Smith,12.3333,24.6,15.5,5,10,0.5,0,0,0,5.5,7.5,0.733,6,5.5,11.5,3,2.5,0.5,1.5,4.5,19,1.5,1.25,5.75,0.25,0.75,3.75,0,2.25,
Antonio Reeves,6.725,22.5,15,5.5,11,0.5,0.5,2,0.25,3.5,3.5,1,1.5,2,3.5,0,0,2,0,2,-9,0,0,1.75,1,0,1.75,0.25,1,3&D Wing
Dalton Knecht,9.5604,25.8,15,6,16,0.375,3,7,0.429,0,0,0,2,2,4,2,0,1,0,1,10,2,0,4,1,0,0,3,1,3&D Wing
