Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,AST/G,TOV/G,REB/G,STL/G,BLK/G,FTA/G,3PM/G,PF/G,Euro Archetype Tag
Dexter Dennis,6.3807,20.7,10,3,4,0.75,3,3.5,0.857,1,2,0.5,0,0.5,0.5,0,0,0,0.5,2,11,0,0,0.25,0,0.25,1,1.5,1,
Egor Dëmin,6.8133,24.9,10,3,9,0.333,3,7.5,0.4,1,1,1,1,3,4,2,1.5,1,0.5,2,-8,1,0.75,2,0.5,0.25,0.5,1.5,1,
Hansen Yang,9.18,24.8,10,3.5,7.5,0.467,0.5,2.5,0.2,2.5,3,0.833,1,3.5,4.5,4,4,0.5,2,4.5,12,2,2,2.25,0.25,1,1.5,0.25,2.25,
Jack White,7.61,24.1,10,3,6,0.5,2,4,0.5,2,2,1,0,2,2,1,2,2,3,1,8,1,2,2,2,3,2,2,1,3&D Wing
Javonte Cooke,6.5583,19.4,10,3.5,10,0.35,2,6,0.333,1,1,1,0,3.5,3.5,1.5,1.5,1,0,3,-3,0.75,0.75,1.75,0.5,0,0.5,1,1.5,
Justin Edwards,5.7318,25.5,10,3.5,11,0.318,2,6,0.333,1,1.5,0.667,0,1.5,1.5,1,3,0,0,3.5,-15,0.5,1.5,0.75,0,0,0.75,1,1.75,
Malevy Leons,9.5643,22.5,10,4.5,7,0.643,0.5,1,0.5,0.5,0.5,1,3,4,7,3,0.5,1.5,1,5,22,1.5,0.25,3.5,0.75,0.5,0.25,0.25,2.5,
Nolan Traore,7.4575,24.6,10,3,7.5,0.4,0.5,2.5,0.2,3.5,4,0.875,1,3.5,4.5,3,3,0,0,3.5,-1,1.5,1.5,2.25,0,0,2,0.25,1.75,
Spencer Jones,5.8841,24.1,10,4,7.5,0.533,1.5,4,0.375,0.5,1.5,0.333,1,3,4,0,1,1.5,0,5,-11,0,0.5,2,0.75,0,0.75,0.75,2.5,
Yves Missi,7.4508,25.3,10,4,10,0.4,0,0,0,2,6.5,0.308,5,7,12,0,0.5,1,1.5,2,-13,0,0.25,6,0.5,0.75,3.25,0,1,
AJ Johnson,5.2733,20.4,9.5,3.5,7,0.5,0,2,0,2.5,3,0.833,0.5,3,3.5,0.5,1.5,0.5,0,1,-7,0.25,0.75,1.75,0.25,0,1.5,0,0.5,
Jamal Shead,8.8809,23,9.5,3,8.5,0.353,1,2.5,0.4,2.5,4.5,0.556,1.5,1.5,3,5,3,2,0,4,13,2.5,1.5,1.5,1,0,2.25,0.5,2,3&D Wing
Johnny Furphy,4.9322,19.1,9.5,4,8,0.5,1,4.5,0.222,0.5,1,0.5,0,3,3,2.5,2.5,0.5,0,2,-13,1.25,1.25,1.5,0.25,0,0.5,0.5,1,
Kenneth Lofton Jr.,8.2303,18.1,9.5,2,7,0.286,0,0,0,5.5,6,0.917,3.5,2.5,6,2,2,0,0.5,2.5,14,1,1,3,0,0.25,3,0,1.25,
Moses Wood,7.4418,23.4,9.5,3.5,11,0.318,1.5,7.5,0.2,1,2,0.5,0.5,3,3.5,3,1,0.5,2.5,2,-2,1.5,0.5,1.75,0.25,1.25,1,0.75,1,
Taran Armstrong,7.2271,25,9.5,3.5,8,0.438,1.5,4.5,0.333,1,1,1,1,4,5,5,3.5,2,0,1,-5,2.5,1.75,2.5,1,0,0.5,0.75,0.5,3&D Wing
Ulrich Chomche,8.1745,21,9.5,3,5.5,0.545,0,0,0,3.5,5,0.7,2.5,2.5,5,1.5,0,3,1.5,2,15,0.75,0,2.5,1.5,0.75,2.5,0,1,
Adam Flagler,5.4325,17.4,9,3,8,0.375,1.5,5,0.3,1.5,2,0.75,1,1,2,2,1.5,0.5,0,1.5,-4,1,0.75,1,0.25,0,1,0.75,0.75,
Alijah Martin,8.909,19,9,3.5,9.5,0.368,1,4.5,0.222,1,1,1,0.5,2.5,3,3,2.5,1.5,0,1,25,1.5,1.25,1.5,0.75,0,0.5,0.5,0.5,
Cameron Tyson,5.2191,14.8,9,3,7,0.429,3,6.5,0.462,0,0,0,0.5,2,2.5,2,0,0,0,2,-1,1,0,1.25,0,0,0,1.5,1,
Curtis Jones,6.2029,16.7,9,3,7,0.429,2,5,0.4,1,1,1,0,3,3,2.5,1.5,0,0.5,4,1,1.25,0.75,1.5,0,0.25,0.5,1,2,
Ethan Thompson,7.3023,24,9,2,8,0.25,1.5,5.5,0.273,3.5,3.5,1,0.5,0,0.5,1,2,0.5,0.5,6.5,3,0.5,1,0.25,0.25,0.25,1.75,0.75,3.25,
Joan Beringer,8.1745,22.3,9,3.5,4.5,0.778,0,0,0,2,3,0.667,4,3.5,7.5,2,0.5,1,3.5,2,12,1,0.25,3.75,0.5,1.75,1.5,0,1,
Johni Broome,5.5567,16.3,9,3.5,7.5,0.467,2,2.5,0.8,0,0,0,3,1,4,1.5,1,1,0.5,3.5,-2,0.75,0.5,2,0.5,0.25,0,1,1.75,
Bobi Klintman,10.8836,29.9,8.5,3,7.5,0.4,1,3.5,0.286,1.5,2,0.75,0.5,8,8.5,2.5,2.5,1.5,1,3,23,1.25,1.25,4.25,0.75,0.5,1,0.5,1.5,
Jamison Battle,5.1926,19.6,8.5,3,6.5,0.462,2,5.5,0.364,0.5,1,0.5,0.5,0.5,1,1,2,0.5,0,1.5,-3,0.5,1,0.5,0.25,0,0.5,1,0.75,
Kendall Brown,4.3067,13.1,8.5,3,4.5,0.667,0.5,0.5,1,2,2.5,0.8,0,1,1,0.5,0.5,0.5,0,0.5,2,0.25,0.25,0.5,0.25,0,1.25,0.25,0.25,
Noa Essengue,5.754,21.6,8.5,3,8.5,0.353,0.5,3.5,0.143,2,4.5,0.444,2.5,4,6.5,0.5,4,2,1,2,-18,0.25,2,3.25,1,0.5,2.25,0.25,1,3&D Wing
Noah Penda,9.3611,28,8.5,4,9,0.444,0.5,3,0.167,0,0,0,1,7.5,8.5,3,3.5,2.5,0.5,1.5,12,1.5,1.75,4.25,1.25,0.25,0,0.25,0.75,3&D Wing
Ryan Kalkbrenner,8.2617,29.4,8.5,3.5,7.5,0.467,0,0.5,0,1.5,2,0.75,2.5,3,5.5,3,1.5,1,3.5,2.5,6,1.5,0.75,2.75,0.5,1.75,1,0,1.25,
Alex Schumacher,2.6,5.4,8,3,5,0.6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,0,
Christian Koloko,5.8947,17.9,8,2.5,5,0.5,0.5,1.5,0.333,2.5,3.5,0.714,2,2.5,4.5,1.5,0.5,0.5,2,4.5,-2,0.75,0.25,2.25,0.25,1,1.75,0.25,2.25,
Collin Murray-Boyles,7.99,22.8,8,3,5,0.6,0,2,0,2,4,0.5,5,2,7,1,5,3,1,8,0,1,5,7,3,1,4,0,8,Stretch Big / Rim Protector
Erik Stevenson,5.1545,20,8,3,5.5,0.545,2,4,0.5,0,0,0,1,3.5,4.5,1,3,0.5,0,2.5,-8,0.5,1.5,2.25,0.25,0,0,1,1.25,
Isaiah Crawford,5.69,16.2,8,3,5,0.6,1.5,2.5,0.6,0.5,1,0.5,1,3.5,4.5,1,1.5,0.5,1,0.5,4,0.5,0.75,2.25,0.25,0.5,0.5,0.75,0.25,
Jacksen Moni,3.2217,7.8,8,3,4,0.75,2,3,0.667,0,0,0,1,1,2,0,0,0,0,0,-1,0,0,2,0,0,0,2,0,
Jahmir Young,4.1862,19.9,8,3,6.5,0.462,0,1,0,2,2,1,0.5,1.5,2,5,2.5,1,0,0.5,-15,2.5,1.25,1,0.5,0,1,0,0.25,
Jules Bernard,4.6973,18.7,8,3,11,0.273,0,2,0,2,2,1,2,2,4,2,0,0,0,2,-13,2,0,4,0,0,2,0,2,
Keve Aluma,4.0886,15.6,8,3.5,7,0.5,1,3.5,0.286,0,0.5,0,2,2,4,0,1,1.5,0.5,2,-12,0,0.5,2,0.75,0.25,0.25,0.5,1,
Miles Norris,8.115,21.5,8,2,5,0.4,1,4,0.25,3,3,1,1,4,5,0,3,1,1,5,12,0,3,5,1,1,3,1,5,
Nate Williams,8.9467,31.2,8,4,15,0.267,0,7,0,0,0,0,2,4,6,3,5,1,0,4,-1,3,5,6,1,0,0,0,4,
Robert Baker,4.0356,13.3,8,2.5,4.5,0.556,1,3,0.333,2,3,0.667,0.5,2.5,3,1.5,0,1,0,1,-8,0.75,0,1.5,0.5,0,1.5,0.5,0.5,
Saliou Niang,6.9801,22.5,7.7,2.3,5.7,0.412,0.3,1.7,0.2,2.7,3,0.889,2.7,4,6.7,1.3,2.3,0.7,0,2.7,2,0.4333333333,0.7666666667,2.233333333,0.2333333333,0,1,0.1,0.9,
Ariel Hukporti,6.1381,21.2,7.5,2.5,4.5,0.556,0,0,0,2.5,4,0.625,4,5,9,1.5,3,1,2.5,5,-13,0.75,1.5,4.5,0.5,1.25,2,0,2.5,
E.J. Liddell,6.6669,23.8,7.5,2.5,7.5,0.333,1,3.5,0.286,1.5,2,0.75,4,5,9,0.5,3.5,0,0.5,3.5,-10,0.25,1.75,4.5,0,0.25,1,0.5,1.75,
Jesse Edwards,4.5357,14.5,7.5,3,3.5,0.857,0,0,0,1.5,3,0.5,0.5,1.5,2,0.5,0.5,0.5,0.5,3,2,0.25,0.25,1,0.25,0.25,1.5,0,1.5,
Kam Jones,6.265,25,7.5,3,7.5,0.4,0,3,0,1.5,2,0.75,1.5,2.5,4,2,2.5,1.5,0,3,-5,1,1.25,2,0.75,0,1,0,1.5,
Maozinha Pereira,3.5645,21.1,7.5,3,5.5,0.545,1.5,3,0.5,0,0,0,0.5,2,2.5,1,1.5,0,0,1.5,-16,0.5,0.75,1.25,0,0,0,0.75,0.75,
MarJon Beauchamp,4.63,20.9,7.5,3,10,0.3,0,3.5,0,1.5,2.5,0.6,0.5,2.5,3,1,1,0,1,1.5,-14,0.5,0.5,1.5,0,0.5,1.25,0,0.75,
N'Faly Dante,4.8736,22.6,7.5,3.5,5.5,0.636,0,0,0,0.5,1,0.5,3,1,4,2,1,1,2.5,5.5,-13,1,0.5,2,0.5,1.25,0.5,0,2.75,
Zakai Zeigler,4.6585,17.8,7.5,2.5,6.5,0.385,1,2.5,0.4,1.5,1.5,1,0,1,1,1.5,2.5,1,0,3,-6,0.75,1.25,0.5,0.5,0,0.75,0.5,1.5,
Adem Bona,4.6067,19.1,7,3.5,7.5,0.467,0,0.5,0,0,0,0,3.5,2,5.5,1,3,1.5,2.5,3,-14,0.5,1.5,2.75,0.75,1.25,0,0,1.5,
Alondes Williams,4.4538,17.3,7,2,3.5,0.571,2,3,0.667,1,1,1,0,2.5,2.5,2,2,1,0.5,3,-8,1,1,1.25,0.5,0.25,0.5,1,1.5,
Caleb Grill,4.0718,17.5,7,2.5,6.5,0.385,2,6,0.333,0,0,0,0,1.5,1.5,0.5,0.5,1.5,0,3,-10,0.25,0.25,0.75,0.75,0,0,1,1.5,
Coleman Hawkins,6.7033,17.1,7,3,5,0.6,1,3,0.333,0,0,0,2,5,7,4,2,2,0,3,5,4,2,7,2,0,0,1,3,
Craig Porter Jr.,3.95,6.5,7,2,2,1,1,1,1,2,2,1,0,1,1,1,0,0,0,1,9,1,0,1,0,0,2,1,1,
Gabe McGlothan,4.83,18.3,7,2.5,5,0.5,2,4,0.5,0,0,0,1.5,3,4.5,0,0.5,0.5,0,0.5,-2,0,0.25,2.25,0.25,0,0,1,0.25,
Hason Ward,4.9775,12.9,7,3.5,4,0.875,0,0,0,0,0,0,1.5,2,3.5,2,1,0.5,0.5,3.5,7,1,0.5,1.75,0.25,0.25,0,0,1.75,
Jack McVeigh,4.0425,15.8,7,3,8,0.375,1,4,0.25,0,0,0,1,4,5,1,1,1,0,1,-13,1,1,5,1,0,0,1,1,3&D Wing
Jake Stephens,6.03,15.8,7,2,4,0.5,2,4,0.5,1,2,0.5,2,2,4,2,0,1,0,3,7,2,0,4,1,0,2,2,3,
Jaylen Clark,8.2732,27.3,7,2.5,10,0.25,1,5.5,0.182,1,2,0.5,1,2,3,2,0.5,2,1,3,11,1,0.25,1.5,1,0.5,1,0.5,1.5,3&D Wing
Jermaine Samuels Jr.,5.3005,18.3,7,2.5,5.5,0.455,0.5,1,0.5,1.5,2,0.75,2,1.5,3.5,0,2,0,0.5,1.5,2,0,1,1.75,0,0.25,1,0.25,0.75,
Keshad Johnson,6.4403,27.4,7,2.5,9,0.278,0.5,4,0.125,1.5,2.5,0.6,1,3,4,3.5,1,0.5,1.5,6.5,-12,1.75,0.5,2,0.25,0.75,1.25,0.25,3.25,
Lachlan Olbrich,5.4452,24.9,7,2.5,6.5,0.385,0,1,0,2,3,0.667,1.5,2.5,4,0.5,2.5,1,0,3.5,-9,0.25,1.25,2,0.5,0,1.5,0,1.75,
PJ Hall,4.4881,10.5,7,2.5,3.5,0.714,1,1.5,0.667,1,1,1,1.5,2,3.5,1,1.5,0,1,6,-2,0.5,0.75,1.75,0,0.5,0.5,0.5,3,
Phlandrous Fleming Jr.,6.6217,16.3,7,2.5,6,0.417,0.5,2,0.25,1.5,2,0.75,2,4.5,6.5,3,1.5,0.5,0,1,8,1.5,0.75,3.25,0.25,0,1,0.25,0.5,
Sir'Jabari Rice,6.15,18,7,3,10,0.3,1,5,0.2,0,1,0,3,2,5,1,0,1,1,3,0,1,0,5,1,1,1,1,3,
Skal Labissiere,6.1117,16.7,7,2.5,6,0.417,0,1,0,2,2,1,1.5,2,3.5,2,1.5,0,1.5,4.5,6,1,0.75,1.75,0,0.75,1,0,2.25,
Tyler Burton,5.4934,16.1,7,2.5,6,0.417,0.5,3,0.167,1.5,2,0.75,1,3.5,4.5,1.5,1,0.5,0.5,0.5,2,0.75,0.5,2.25,0.25,0.25,1,0.25,0.25,
Amari Bailey,5.2767,12.2,6.5,2,5,0.4,0.5,1,0.5,2,3,0.667,1,2,3,2.5,0.5,0.5,0,0.5,9,1.25,0.25,1.5,0.25,0,1.5,0.25,0.25,
Chris Manon,5.5456,16,6.5,2,5,0.4,0,1,0,2.5,4.5,0.556,1.5,2.5,4,1.5,2,0.5,2,3,0,0.75,1,2,0.25,1,2.25,0,1.5,
Dink Pate,5.4419,15.3,6.5,2,7,0.286,1,3,0.333,1.5,1.5,1,1.5,3,4.5,3,0,0.5,0,1.5,1,1.5,0,2.25,0.25,0,0.75,0.5,0.75,
Jamal Cain,4.52,18,6.5,3,6,0.5,0.5,2.5,0.2,0,0,0,1,2,3,0.5,0,0,0,1.5,0,0.25,0,1.5,0,0,0,0.25,0.75,
Jordan Hall,6.1096,23,6.5,3,7,0.429,0.5,3,0.167,0,0,0,1,3.5,4.5,3,2,1.5,0.5,4.5,-3,1.5,1,2.25,0.75,0.25,0,0.25,2.25,
Kira Lewis Jr.,6.0033,25,6.5,2,6,0.333,0.5,2.5,0.2,2,2,1,0.5,4.5,5,3.5,2,0,0,2.5,-6,1.75,1,2.5,0,0,1,0.25,1.25,
Kyle Mangas,5.2721,14,6.5,2,3.5,0.571,1,2.5,0.4,1.5,2,0.75,0.5,2,2.5,2,1,0,0,1,9,1,0.5,1.25,0,0,1,0.5,0.5,
Trevor Keels,3.6473,11.6,6.5,2,4.5,0.444,1.5,3.5,0.429,1,1,1,0,0,0,0.5,1,0,0,0.5,1,0.25,0.5,0,0,0,0.5,0.75,0.25,
Tristen Newton,4.675,16.4,6.5,2,6.5,0.308,1.5,4,0.375,1,1.5,0.667,0.5,1,1.5,2,1,1,0,2,-3,1,0.5,0.75,0.5,0,0.75,0.75,1,
Tyler Kolek,6.1958,28,6.5,2.5,12,0.208,0,5.5,0,1.5,2,0.75,1.5,2.5,4,6,4.5,1,1.5,2,-20,3,2.25,2,0.5,0.75,1,0,1,
Bogoljub Marković,3.7696,15.3,6.3,1.7,4.3,0.385,0.7,2,0.333,2.3,3,0.778,0.7,0.7,1.3,1,1.3,0.3,0,2.3,-7,0.3333333333,0.4333333333,0.4333333333,0.1,0,1,0.2333333333,0.7666666667,
Arthur Kaluma,3.68,12.8,6,2.5,5,0.5,1,2,0.5,0,0,0,0,1.5,1.5,1,0.5,0,1,4,-3,0.5,0.25,0.75,0,0.5,0,0.5,2,
Denver Jones,5.2922,14.2,6,2,9,0.222,0,5,0,2,4,0.5,2,2,4,0,1,1,0,2,-2,0,1,4,1,0,4,0,2,
Isaiah Stevens,5.705,17.3,6,2.5,6,0.417,1,3,0.333,0,0,0,0.5,1,1.5,2.5,0.5,1.5,0,1,12,1.25,0.25,0.75,0.75,0,0,0.5,0.5,
Keion Brooks Jr.,4.8095,17,6,1.5,3.5,0.429,0.5,1.5,0.333,2.5,3,0.833,2.5,0.5,3,0.5,0.5,1.5,0,2.5,0,0.25,0.25,1.5,0.75,0,1.5,0.25,1.25,
Lawson Lovering,5.2183,16.6,6,2.5,3,0.833,0,0,0,1,4,0.25,2.5,2.5,5,0.5,1.5,0,0.5,4.5,1,0.25,0.75,2.5,0,0.25,2,0,2.25,
Leaky Black,3.6167,12.6,6,1.5,3,0.5,1,2.5,0.4,2,3,0.667,0,2.5,2.5,1,1.5,1,0,3.5,-9,0.5,0.75,1.25,0.5,0,1.5,0.5,1.75,
Leopold Delaunay,5.44,16.9,6,3,6,0.5,0,2,0,0,0,0,0,7,7,1,2,0,0,2,1,1,2,7,0,0,0,0,2,
Max Abmas,4.3519,22.9,6,2.5,7.5,0.333,1,3.5,0.286,0,0,0,0,0.5,0.5,1.5,1.5,1.5,0,3,-9,0.75,0.75,0.25,0.75,0,0,0.5,1.5,
Max Shulga,6.1885,21.5,6,2.5,6.5,0.385,0.5,3,0.167,0.5,1.5,0.333,0,1.5,1.5,2.5,0.5,2,0.5,3.5,7,1.25,0.25,0.75,1,0.25,0.75,0.25,1.75,3&D Wing
Mohamed Diawara,5.4655,20.2,6,2.5,5.5,0.455,0.5,2,0.25,0.5,2,0.25,1.5,3.5,5,1,1,1,0,0.5,1,0.5,0.5,2.5,0.5,0,1,0.25,0.25,
RJ Davis,3.9576,12.5,6,2,6,0.333,0.5,3.5,0.143,1.5,2.5,0.6,0.5,0.5,1,3,1,0.5,0,2.5,-5,1.5,0.5,0.5,0.25,0,1.25,0.25,1.25,
Wooga Poplar,2.5266,14.9,6,1.5,4.5,0.333,0.5,2.5,0.2,2.5,3,0.833,0,1,1,0.5,1,0,0,1,-16,0.25,0.5,0.5,0,0,1.5,0.25,0.5,
Zhuric Phelps,4.22,11.2,6,3,3,1,0,0,0,0,3,0,1,0,1,2,0,1,2,0,8,2,0,1,1,2,3,0,0,
Andre Jackson Jr.,5.39,21.5,5.7,1.7,3.3,0.5,1,1.7,0.6,1.3,1.3,1,0.7,2.7,3.3,4,3.3,0.7,0.3,3.3,-4,1.333333333,1.1,1.1,0.2333333333,0.1,0.4333333333,0.3333333333,1.1,
Tyler Smith,6.2358,26.6,5.7,2,8.7,0.231,0.3,6,0.056,1.3,2.3,0.571,1,3,4,0,2,0,1.3,2.3,-5,0,0.6666666667,1.333333333,0,0.4333333333,0.7666666667,0.1,0.7666666667,
Amari Williams,4.7733,18.8,5.5,1.5,2.5,0.6,0,0,0,2.5,3,0.833,0.5,2.5,3,1.5,2,0.5,1,2.5,-1,0.75,1,1.5,0.25,0.5,1.5,0,1.25,
Caleb Daniels,3.385,11.5,5.5,1.5,2.5,0.6,1,2,0.5,1.5,2,0.75,1,2,3,0.5,0,0.5,0,2.5,-5,0.25,0,1.5,0.25,0,1,0.5,1.25,
Harrison Ingram,7.5833,20.8,5.5,2.5,7.5,0.333,0.5,2.5,0.2,0,0,0,1.5,6,7.5,4,1,0.5,0,3.5,12,2,0.5,3.75,0.25,0,0,0.25,1.75,
Jameer Nelson Jr.,5.125,15,5.5,1,4,0.25,0,1.5,0,3.5,3.5,1,0,1,1,2.5,2.5,1,0,1,7,1.25,1.25,0.5,0.5,0,1.75,0,0.5,
Reece Beekman,4.97,19.9,5.5,1.5,5,0.3,0,0.5,0,2.5,2.5,1,0,1.5,1.5,8,2,1.5,0,0.5,-4,4,1,0.75,0.75,0,1.25,0,0.25,
Sion James,5.2914,17.8,5.5,2,5.5,0.364,0,2.5,0,1.5,2,0.75,1,2.5,3.5,3,1,0.5,0.5,2,1,1.5,0.5,1.75,0.25,0.25,1,0,1,
Stanley Umude,2.8808,13.5,5.3,2,5,0.4,1,2.7,0.375,0.3,1,0.333,0.3,1.3,1.7,0,0.3,2,0,2.3,-11,0,0.1,0.5666666667,0.6666666667,0,0.3333333333,0.3333333333,0.7666666667,
Adama Sanogo,3.96,16.3,5,2,2.5,0.8,0,0,0,1,1,1,2.5,4,6.5,3.5,0,1,1,1.5,-10,1.75,0,3.25,0.5,0.5,0.5,0,0.75,
Ben Saraf,4.7044,19.3,5,1.5,5,0.3,0,1.5,0,2,4.5,0.444,0.5,1,1.5,4,3,0.5,0,2,-5,2,1.5,0.75,0.25,0,2.25,0,1,
Boo Buie,2.8533,7.3,5,1,2.5,0.4,0.5,1.5,0.333,2.5,2.5,1,0,1.5,1.5,0.5,0.5,0,0,0,0,0.25,0.25,0.75,0,0,1.25,0.25,0,
Cam Carter,4.3033,7.2,5,2,4,0.5,1,3,0.333,0,0,0,0,3,3,2,1,0,0,1,10,2,1,3,0,0,0,1,1,
Chibuzo Agbo,3.29,8.9,5,2,2,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,8,0,0,1,0,0,0,1,1,
Dain Dainja,2.8033,13.2,5,2,4,0.5,0,0,0,1,3,0.333,1,2,3,1,2,0,0,3,-13,1,2,3,0,0,3,0,3,
Dmytro Skapintsev,4.4529,10.1,5,1.5,3.5,0.429,1,2,0.5,1,1,1,1,1,2,1,0.5,0,1,4,7,0.5,0.25,1,0,0.5,0.5,0.5,2,
Hunter Maldonado,4.313,12.4,5,2,4.5,0.444,1,3.5,0.286,0,0.5,0,1,0.5,1.5,0.5,0,1.5,0,1.5,7,0.25,0,0.75,0.75,0,0.25,0.5,0.75,
Hunter Sallis,5.8943,27.1,5,1.5,8.5,0.176,0,2.5,0,2,3,0.667,0,3,3,2.5,1,1.5,1,1.5,-5,1.25,0.5,1.5,0.75,0.5,1.5,0,0.75,
Kobe Johnson,3.7344,13.9,5,2,4.5,0.444,0,1,0,1,2,0.5,1.5,2,3.5,0,2.5,1.5,0,1,-5,0,1.25,1.75,0.75,0,1,0,0.5,
Kon Knueppel,7.7525,29.9,5,1,8,0.125,0,5,0,3,6,0.5,0,1,1,4,3,1,0,3,6,4,3,1,1,0,6,0,3,
Mark Armstrong,1.8194,7.5,5,2,4.5,0.444,0.5,2,0.25,0.5,1,0.5,0.5,0.5,1,1,1,0.5,0,0.5,-11,0.5,0.5,0.5,0.25,0,0.5,0.25,0.25,
Matthew Cleveland,3.84,13,5,2,5,0.4,0,0.5,0,1,1,1,3,1.5,4.5,1,0.5,0,0,1,-2,0.5,0.25,2.25,0,0,0.5,0,0.5,
Maxwell Lewis,4.8367,16.7,5,1,6,0.167,0.5,3,0.167,2.5,3,0.833,1.5,1,2.5,1.5,1,0,1,3,-2,0.75,0.5,1.25,0,0.5,1.5,0.25,1.5,
Nell Joseph,5.2417,15.5,5,2.5,6,0.417,0,0.5,0,0,0,0,2.5,4.5,7,1,0.5,1,2,1,3,0.5,0.25,3.5,0.5,1,0,0,0.5,
Zyon Pullin,4.8966,24.3,5,2,6,0.333,1,3,0.333,0,0,0,0,2,2,4,2,0,0,0,-3,4,2,2,0,0,0,1,0,
DJ Carton,3.8944,15,4.5,2,4.5,0.444,0,2,0,0.5,1,0.5,1.5,3,4.5,1,1.5,0.5,0,1.5,-5,0.5,0.75,2.25,0.25,0,0.5,0,0.75,
Danny Wolf,6.76,23.7,4.5,1,5,0.2,0.5,2.5,0.2,2,2,1,1,7,8,2,3.5,1.5,2.5,3.5,-4,1,1.75,4,0.75,1.25,1,0.25,1.75,
Darius Brown,5.09,16,4.5,1,2.5,0.4,0,1,0,2.5,2.5,1,0,2.5,2.5,3.5,1.5,1,0,1.5,7,1.75,0.75,1.25,0.5,0,1.25,0,0.75,
Devone Grant,2.9629,10.9,4.5,1.5,5,0.3,1.5,3.5,0.429,0,0,0,0,0.5,0.5,2.5,1.5,0.5,0,1.5,-5,1.25,0.75,0.25,0.25,0,0,0.75,0.75,
Grant Nelson,3.4333,12.9,4.5,1.5,2.5,0.6,0.5,1.5,0.333,1,1,1,1,1,2,1.5,1.5,0,0,3,-3,0.75,0.75,1,0,0,0.5,0.25,1.5,
Jamir Watkins,3.8583,16,4.5,1,4,0.25,0,2,0,2.5,3,0.833,1,1.5,2.5,0.5,0,2.5,0,2.5,-6,0.25,0,1.25,1.25,0,1.5,0,1.25,
Ty Brewer,3.1277,11.5,4.5,2,4.5,0.444,0.5,1.5,0.333,0,1,0,1.5,1.5,3,0,1,1,0,1,-4,0,0.5,1.5,0.5,0,0.5,0.25,0.5,
Warith Alatishe,4.5867,17.7,4.5,2,3,0.667,0,0,0,0.5,1,0.5,2.5,2,4.5,1,0.5,0.5,2.5,0.5,2,0.5,0.25,2.25,0.25,1.25,0.5,0,0.25,
Malik Williams,2.6206,9,4.3,1.7,3,0.556,0.3,1.3,0.25,0.7,1.7,0.4,0.7,1.7,2.3,0.7,0.3,0.3,0.3,1.7,-5,0.2333333333,0.1,0.7666666667,0.1,0.1,0.5666666667,0.1,0.5666666667,
Aaron Estrada,1.78,11.8,4,2,4,0.5,0,0.5,0,0,0,0,0,0.5,0.5,1,1.5,0,0.5,0,-9,0.5,0.75,0.25,0,0.25,0,0,0,
Brandon Angel,2.53,10.8,4,2,4,0.5,0,2,0,0,0,0,0,1,1,0,0,1,0,2,-3,0,0,1,1,0,0,0,2,
CJ Huntley,5.3144,17.2,4,2,4.5,0.444,0,1,0,0,0,0,1,3.5,4.5,0.5,1.5,1,0.5,3.5,8,0.25,0.75,2.25,0.5,0.25,0,0,1.75,
Chris Ledlum,4.05,13.4,4,1.5,2.5,0.6,0.5,1,0.5,0.5,1,0.5,1.5,3,4.5,0.5,1.5,0,1.5,1,1,0.25,0.75,2.25,0,0.75,0.5,0.25,0.5,
Chucky Hepburn,5.0283,14.7,4,1.5,4.5,0.333,1,4,0.25,0,0,0,0.5,1,1.5,4,1.5,1.5,0,4,6,2,0.75,0.75,0.75,0,0,0.5,2,
Daeqwon Plowden,4.2383,12.8,4,1,4,0.25,1,3,0.333,1,1,1,0,3,3,1,0,0,0.5,0.5,5,0.5,0,1.5,0,0.25,0.5,0.5,0.25,
Dane Goodwin,2.3817,15.4,4,1.5,2,0.75,1,1.5,0.667,0,0,0,0,0.5,0.5,0.5,0,0,0,1.5,-6,0.25,0,0.25,0,0,0,0.5,0.75,
Dawson Garcia,4.0267,13.6,4,2,3,0.667,0,1,0,0,0,0,2,3,5,1,2,0,1,6,-4,1,2,5,0,1,0,0,6,
Jahmai Mashack,6.475,24.5,4,2,8,0.25,0,2,0,0,0,0,1,4,5,4,3,0,2,1,4,4,3,5,0,2,0,0,1,
Jarkel Joiner,2.95,4.5,4,2,2,1,0,0,0,0,1,0,0,2,2,1,0,0,0,1,9,1,0,2,0,0,1,0,1,
Kadin Shedrick,4.38,11.3,4,1,3,0.333,0,0.5,0,2,3,0.667,2,0,2,1,0,1.5,1,3.5,7,0.5,0,1,0.75,0.5,1.5,0,1.75,
Quincy Guerrier,2.64,6.4,4,1,1,1,0,0,0,2,2,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0,2,0,1,
Steven Ashworth,2.275,9.1,4,1,2.5,0.4,0.5,2,0.25,1.5,1.5,1,0,0.5,0.5,1.5,3.5,0.5,0,1.5,-9,0.75,1.75,0.25,0.25,0,0.75,0.25,0.75,
William Hickey,1.85,4.5,4,0,1,0,0,0,0,4,4,1,2,1,3,0,1,0,0,2,-9,0,1,3,0,0,4,0,2,
