Player,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,MSR,MSR %,AST/G,TOV/G,REB/G,STL/G,BLK/G,FTA/G,3PM/G,PF/G,Euro Archetype Tag
Jaylen Wells,2,25.3,18,5,13,0.385,2,6,0.333,6,6.5,0.923,1,4,5,3,2,1.5,0.5,4,-5,99.441,9.9441,1.5,1,2.5,0.75,0.25,3.25,1,2,
Liam McNeeley,2,29.1,18,5.5,13.5,0.407,3,7,0.429,4,4.5,0.889,3,5.5,8.5,4,1.5,0.5,0,1.5,3,113.825,11.3825,2,0.75,4.25,0.25,0,2.25,1.5,0.75,
M.J. Walker Jr.,1,18.3,18,6,9,0.667,6,9,0.667,0,0,0,1,2,3,1,1,0,0,3,10,88.634,8.8634,1,1,3,0,0,0,6,3,
Nique Clifford,2,26.6,18,6.5,12.5,0.52,2,3.5,0.571,3,5,0.6,1.5,6.5,8,4,3,1.5,0.5,4.5,5,113.291,11.3291,2,1.5,4,0.75,0.25,2.5,1,2.25,
Tidjane Salaün,2,27.8,18,5.5,11.5,0.478,1.5,6,0.25,5.5,8.5,0.647,2,4.5,6.5,1.5,2,0,1,4,-4,103.175,10.3175,0.75,1,3.25,0,0.5,4.25,0.75,2,
Tre Johnson,1,27.8,18,7,13,0.538,3,5,0.6,1,2,0.5,2,1,3,2,3,1,0,0,-16,74.438,7.4438,2,3,3,1,0,2,3,0,3&D Wing
Enrique Freeman,2,26.7,17,4.5,7,0.643,1,2,0.5,7,9,0.778,3.5,5.5,9,1.5,2,1,2,3,-2,101.621,10.1621,0.75,1,4.5,0.5,1,4.5,0.5,1.5,
Jordan Walsh,1,27.1,17,6,12,0.5,3,6,0.5,2,4,0.5,0,3,3,2,3,0,0,1,6,96.6,9.66,2,3,3,0,0,4,3,1,
Matas Buzelis,1,25,17,4,14,0.286,2,8,0.25,7,7,1,0,5,5,1,4,1,2,3,-23,83.536,8.3536,1,4,5,1,2,7,2,3,
Pacôme Dadiet,1,24.7,17,8,13,0.615,1,3,0.333,0,1,0,1,0,1,1,3,0,1,3,-15,63.648,6.3648,1,3,1,0,1,1,1,3,
Ryan Dunn,1,28.9,17,7,12,0.583,2,5,0.4,1,2,0.5,1,4,5,4,1,2,0,2,13,108.383,10.8383,4,1,5,2,0,2,2,2,3&D Wing
Ajay Mitchell,2,27,16.5,5,12,0.417,1.5,4.5,0.333,5,6.5,0.769,1,4.5,5.5,4.5,6.5,1.5,0.5,4.5,20,128.019,12.8019,2.25,3.25,2.75,0.75,0.25,3.25,0.75,2.25,
Jamaree Bouyea,2,23.4,16.5,6.5,14.5,0.448,3.5,7,0.5,0,0,0,1,2.5,3.5,4,0,2.5,0.5,1.5,-1,86.848,8.6848,2,0,1.75,1.25,0.25,0,1.75,0.75,3&D Wing
Judah Mintz,2,27.1,16.5,3.5,10,0.35,0.5,2,0.25,9,13,0.692,0.5,2,2.5,3.5,0.5,0.5,0,3.5,-12,83.892,8.3892,1.75,0.25,1.25,0.25,0,6.5,0.25,1.75,
Maxime Raynaud,2,27.8,16.5,7,13,0.538,1.5,4.5,0.333,1,1,1,2,3.5,5.5,2,0.5,1,0,4.5,7,100.171,10.0171,1,0.25,2.75,0.5,0,0.5,0.75,2.25,
Alijah Martin,1,21.3,16,6,12,0.5,2,4,0.5,2,2,1,0,5,5,5,3,2,0,2,36,125.3,12.53,5,3,5,2,0,2,2,2,3&D Wing
Boogie Ellis,1,19,16,4,8,0.5,4,6,0.667,4,4,1,0,4,4,3,3,0,0,2,25,108.167,10.8167,3,3,4,0,0,4,4,2,
Cam Spencer,2,27,16,5,12,0.417,2,5,0.4,4,4,1,1.5,2,3.5,3,2.5,0.5,0,4,1,94.817,9.4817,1.5,1.25,1.75,0.25,0,2,1,2,
Dylan Harper,1,19.6,16,5,12,0.417,0,4,0,6,7,0.857,1,5,6,2,2,2,1,5,1,95.874,9.5874,2,2,6,2,1,7,0,5,Stretch Big / Rim Protector
Ethan Thompson,1,24.8,16,4,10,0.4,3,6,0.5,5,5,1,0,0,0,1,3,0,1,7,-2,85.7,8.57,1,3,0,0,1,5,3,7,
GG Jackson,1,29,16,5,10,0.5,1,3,0.333,5,9,0.556,1,3,4,2,2,0,0,2,-3,90.389,9.0389,2,2,4,0,0,9,1,2,
Isaiah Collier,1,28.1,16,6,10,0.6,2,3,0.667,2,2,1,2,4,6,9,6,2,0,3,-2,101.367,10.1367,9,6,6,2,0,2,2,3,
Pelle Larsson,1,26.6,16,3,10,0.3,1,7,0.143,9,11,0.818,0,2,2,3,3,1,0,3,-7,91.861,9.1861,3,3,2,1,0,11,1,3,
Tolu Smith,1,26.4,16,6,13,0.462,0,0,0,4,7,0.571,6,5,11,2,3,1,2,5,22,130.433,13.0433,2,3,11,1,2,7,0,5,
