Player,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,MSR,MSR %,AST/G,TOV/G,REB/G,STL/G,BLK/G,FTA/G,3PM/G,PF/G,Euro Archetype Tag
Jaden Shackelford,1,19.6,9,3,7,0.429,2,6,0.333,1,3,0.333,0,2,2,1,1,0,0,2,-18,41.695,4.1695,1,1,2,0,0,3,2,2,
Jamal Shead,1,21.5,9,4,10,0.4,1,3,0.333,0,0,0,2,2,4,6,2,2,0,3,28,98.233,9.8233,6,2,4,2,0,0,1,3,
Jermaine Samuels Jr.,1,27.7,9,3,6,0.5,1,2,0.5,2,3,0.667,2,3,5,0,3,0,0,2,5,75.367,7.5367,0,3,5,0,0,3,1,2,
Joan Beringer,2,22.3,9,3.5,4.5,0.778,0,0,0,2,3,0.667,4,3.5,7.5,2,0.5,1,3.5,2,12,81.745,8.1745,1,0.25,3.75,0.5,1.75,1.5,0,1,
Johni Broome,2,16.3,9,3.5,7.5,0.467,2,2.5,0.8,0,0,0,3,1,4,1.5,1,1,0.5,3.5,-2,55.567,5.5567,0.75,0.5,2,0.5,0.25,0,1,1.75,
Keshad Johnson,1,27.6,9,3,8,0.375,1,3,0.333,2,2,1,1,2,3,3,0,0,1,8,-15,60.308,6.0308,3,0,3,0,1,2,1,8,
Moses Wood,1,18.3,9,4,11,0.364,1,7,0.143,0,0,0,0,2,2,4,1,1,0,2,23,85.807,8.5807,4,1,2,1,0,0,1,2,
N'Faly Dante,1,25.7,9,4,8,0.5,0,0,0,1,2,0.5,4,0,4,1,1,2,3,4,-14,55.7,5.57,1,1,4,2,3,2,0,4,
Ulrich Chomche,1,18.8,9,4,6,0.667,0,0,0,1,2,0.5,4,2,6,1,0,3,1,3,23,84.967,8.4967,1,0,6,3,1,2,0,3,
Warith Alatishe,1,21,9,4,5,0.8,0,0,0,1,2,0.5,4,2,6,1,0,0,5,1,9,71.3,7.13,1,0,6,0,5,2,0,1,
Yuri Collins,1,24.8,9,4,7,0.571,0,0,0,1,1,1,0,4,4,6,3,1,0,3,2,71.371,7.1371,6,3,4,1,0,1,0,3,
Zavier Simpson,1,26.7,9,4,9,0.444,0,3,0,1,2,0.5,2,1,3,5,4,2,3,2,2,79.644,7.9644,5,4,3,2,3,2,0,2,
Noa Essengue,2,21.6,8.5,3,8.5,0.353,0.5,3.5,0.143,2,4.5,0.444,2.5,4,6.5,0.5,4,2,1,2,-18,57.54,5.754,0.25,2,3.25,1,0.5,2.25,0.25,1,
Ryan Kalkbrenner,2,29.4,8.5,3.5,7.5,0.467,0,0.5,0,1.5,2,0.75,2.5,3,5.5,3,1.5,1,3.5,2.5,6,82.617,8.2617,1.5,0.75,2.75,0.5,1.75,1,0,1.25,
Saliou Niang,2,21.6,8.5,2.5,6.5,0.385,0.5,2.5,0.2,3,3.5,0.857,2,2.5,4.5,0.5,3,1,0,2.5,-7,59.042,5.9042,0.25,1.5,2.25,0.5,0,1.75,0.25,1.25,
Adama Sanogo,1,16.4,8,3,4,0.75,0,0,0,2,2,1,3,5,8,3,0,0,1,1,-11,47.15,4.715,3,0,8,0,1,2,0,1,Stretch Big / Rim Protector
Asa Newell,1,25.9,8,3,9,0.333,1,3,0.333,1,2,0.5,2,6,8,2,0,2,0,0,17,91.066,9.1066,2,0,8,2,0,2,1,0,
Baylor Scheierman,1,27.9,8,2,14,0.143,1,8,0.125,3,3,1,0,5,5,4,1,0,0,4,5,92.168,9.2168,4,1,5,0,0,3,1,4,Euro Facilitator
CJ Huntley,1,19,8,4,5,0.8,0,0,0,0,0,0,0,5,5,1,1,1,1,4,25,79.8,7.98,1,1,5,1,1,0,0,4,
Christian Koloko,2,17.9,8,2.5,5,0.5,0.5,1.5,0.333,2.5,3.5,0.714,2,2.5,4.5,1.5,0.5,0.5,2,4.5,-2,58.947,5.8947,0.75,0.25,2.25,0.25,1,1.75,0.25,2.25,
Egor Dëmin,1,22.8,8,2,5,0.4,2,5,0.4,2,2,1,1,3,4,0,2,1,0,3,0,64.6,6.46,0,2,4,1,0,2,2,3,
Gabe Madsen,1,8.6,8,3,4,0.75,2,3,0.667,0,0,0,1,0,1,0,1,0,0,0,-1,32.017,3.2017,0,1,1,0,0,0,2,0,
Isaiah Crawford,2,16.2,8,3,5,0.6,1.5,2.5,0.6,0.5,1,0.5,1,3.5,4.5,1,1.5,0.5,1,0.5,4,56.9,5.69,0.5,0.75,2.25,0.25,0.5,0.5,0.75,0.25,
Jacksen Moni,1,7.8,8,3,4,0.75,2,3,0.667,0,0,0,1,1,2,0,0,0,0,0,-1,32.217,3.2217,0,0,2,0,0,0,2,0,
Jahmir Young,2,19.9,8,3,6.5,0.462,0,1,0,2,2,1,0.5,1.5,2,5,2.5,1,0,0.5,-15,41.862,4.1862,2.5,1.25,1,0.5,0,1,0,0.25,
Jules Bernard,1,18.7,8,3,11,0.273,0,2,0,2,2,1,2,2,4,2,0,0,0,2,-13,46.973,4.6973,2,0,4,0,0,2,0,2,
Keve Aluma,2,15.6,8,3.5,7,0.5,1,3.5,0.286,0,0.5,0,2,2,4,0,1,1.5,0.5,2,-12,40.886,4.0886,0,0.5,2,0.75,0.25,0.25,0.5,1,
Miles Norris,1,21.5,8,2,5,0.4,1,4,0.25,3,3,1,1,4,5,0,3,1,1,5,12,81.15,8.115,0,3,5,1,1,3,1,5,
Nate Williams,1,31.2,8,4,15,0.267,0,7,0,0,0,0,2,4,6,3,5,1,0,4,-1,89.467,8.9467,3,5,6,1,0,0,0,4,
Nikola Đurišić,1,23.8,8,4,10,0.4,0,1,0,0,0,0,1,2,3,1,2,1,0,8,5,70.2,7.02,1,2,3,1,0,0,0,8,
Noah Penda,1,25.9,8,4,9,0.444,0,3,0,0,0,0,0,3,3,4,2,2,0,2,4,70.344,7.0344,4,2,3,2,0,0,0,2,
Robert Baker,2,13.3,8,2.5,4.5,0.556,1,3,0.333,2,3,0.667,0.5,2.5,3,1.5,0,1,0,1,-8,40.356,4.0356,0.75,0,1.5,0.5,0,1.5,0.5,0.5,
Tyson Etienne,1,22,8,3,10,0.3,2,6,0.333,0,0,0,3,1,4,2,2,2,0,4,-1,68.633,6.8633,2,2,4,2,0,0,2,4,
Zakai Zeigler,1,18.5,8,2,4,0.5,2,2,1,2,2,1,0,1,1,1,3,1,0,3,-1,52,5.2,1,3,1,1,0,2,2,3,
E.J. Liddell,2,23.8,7.5,2.5,7.5,0.333,1,3.5,0.286,1.5,2,0.75,4,5,9,0.5,3.5,0,0.5,3.5,-10,66.669,6.6669,0.25,1.75,4.5,0,0.25,1,0.5,1.75,
Jesse Edwards,2,14.5,7.5,3,3.5,0.857,0,0,0,1.5,3,0.5,0.5,1.5,2,0.5,0.5,0.5,0.5,3,2,45.357,4.5357,0.25,0.25,1,0.25,0.25,1.5,0,1.5,
Kam Jones,2,25,7.5,3,7.5,0.4,0,3,0,1.5,2,0.75,1.5,2.5,4,2,2.5,1.5,0,3,-5,62.65,6.265,1,1.25,2,0.75,0,1,0,1.5,
Maozinha Pereira,2,21.1,7.5,3,5.5,0.545,1.5,3,0.5,0,0,0,0.5,2,2.5,1,1.5,0,0,1.5,-16,35.645,3.5645,0.5,0.75,1.25,0,0,0,0.75,0.75,
Adem Bona,2,19.1,7,3.5,7.5,0.467,0,0.5,0,0,0,0,3.5,2,5.5,1,3,1.5,2.5,3,-14,46.067,4.6067,0.5,1.5,2.75,0.75,1.25,0,0,1.5,
Alex Toohey,1,23.5,7,2,9,0.222,1,4,0.25,2,4,0.5,1,2,3,1,2,4,0,2,-47,21.472,2.1472,1,2,3,4,0,4,1,2,
Caleb Grill,2,17.5,7,2.5,6.5,0.385,2,6,0.333,0,0,0,0,1.5,1.5,0.5,0.5,1.5,0,3,-10,40.718,4.0718,0.25,0.25,0.75,0.75,0,0,1,1.5,
Craig Porter Jr.,1,6.5,7,2,2,1,1,1,1,2,2,1,0,1,1,1,0,0,0,1,9,39.5,3.95,1,0,1,0,0,2,1,1,
Gabe McGlothan,2,18.3,7,2.5,5,0.5,2,4,0.5,0,0,0,1.5,3,4.5,0,0.5,0.5,0,0.5,-2,48.3,4.83,0,0.25,2.25,0.25,0,0,1,0.25,
Hason Ward,2,12.9,7,3.5,4,0.875,0,0,0,0,0,0,1.5,2,3.5,2,1,0.5,0.5,3.5,7,49.775,4.9775,1,0.5,1.75,0.25,0.25,0,0,1.75,
Jack McVeigh,1,15.8,7,3,8,0.375,1,4,0.25,0,0,0,1,4,5,1,1,1,0,1,-13,40.425,4.0425,1,1,5,1,0,0,1,1,
Jaylen Clark,2,27.3,7,2.5,10,0.25,1,5.5,0.182,1,2,0.5,1,2,3,2,0.5,2,1,3,11,82.732,8.2732,1,0.25,1.5,1,0.5,1,0.5,1.5,
Lachlan Olbrich,2,24.9,7,2.5,6.5,0.385,0,1,0,2,3,0.667,1.5,2.5,4,0.5,2.5,1,0,3.5,-9,54.452,5.4452,0.25,1.25,2,0.5,0,1.5,0,1.75,
Mohamed Diawara,1,17.4,7,3,7,0.429,1,3,0.333,0,1,0,3,4,7,1,1,0,0,1,0,57.162,5.7162,1,1,7,0,0,1,1,1,
PJ Hall,2,10.5,7,2.5,3.5,0.714,1,1.5,0.667,1,1,1,1.5,2,3.5,1,1.5,0,1,6,-2,44.881,4.4881,0.5,0.75,1.75,0,0.5,0.5,0.5,3,
Phlandrous Fleming Jr.,2,16.3,7,2.5,6,0.417,0.5,2,0.25,1.5,2,0.75,2,4.5,6.5,3,1.5,0.5,0,1,8,66.217,6.6217,1.5,0.75,3.25,0.25,0,1,0.25,0.5,
Sir'Jabari Rice,1,18,7,3,10,0.3,1,5,0.2,0,1,0,3,2,5,1,0,1,1,3,0,61.5,6.15,1,0,5,1,1,1,1,3,
Tyler Burton,2,16.1,7,2.5,6,0.417,0.5,3,0.167,1.5,2,0.75,1,3.5,4.5,1.5,1,0.5,0.5,0.5,2,54.934,5.4934,0.75,0.5,2.25,0.25,0.25,1,0.25,0.25,
Amari Bailey,2,12.2,6.5,2,5,0.4,0.5,1,0.5,2,3,0.667,1,2,3,2.5,0.5,0.5,0,0.5,9,52.767,5.2767,1.25,0.25,1.5,0.25,0,1.5,0.25,0.25,
Jamal Cain,2,18,6.5,3,6,0.5,0.5,2.5,0.2,0,0,0,1,2,3,0.5,0,0,0,1.5,0,45.2,4.52,0.25,0,1.5,0,0,0,0.25,0.75,
Jordan Hall,2,23,6.5,3,7,0.429,0.5,3,0.167,0,0,0,1,3.5,4.5,3,2,1.5,0.5,4.5,-3,61.096,6.1096,1.5,1,2.25,0.75,0.25,0,0.25,2.25,
Kyle Mangas,2,14,6.5,2,3.5,0.571,1,2.5,0.4,1.5,2,0.75,0.5,2,2.5,2,1,0,0,1,9,52.721,5.2721,1,0.5,1.25,0,0,1,0.5,0.5,
Tristen Newton,2,16.4,6.5,2,6.5,0.308,1.5,4,0.375,1,1.5,0.667,0.5,1,1.5,2,1,1,0,2,-3,46.75,4.675,1,0.5,0.75,0.5,0,0.75,0.75,1,
Ariel Hukporti,1,20.4,6,3,5,0.6,0,0,0,0,2,0,2,3,5,2,1,0,2,5,-16,41,4.1,2,1,5,0,2,2,0,5,
Arthur Kaluma,2,12.8,6,2.5,5,0.5,1,2,0.5,0,0,0,0,1.5,1.5,1,0.5,0,1,4,-3,36.8,3.68,0.5,0.25,0.75,0,0.5,0,0.5,2,
Devone Grant,1,10.4,6,2,4,0.5,2,2,1,0,0,0,0,1,1,2,1,0,0,2,-8,26.9,2.69,2,1,1,0,0,0,2,2,
Dink Pate,1,13.7,6,1,8,0.125,1,2,0.5,3,3,1,2,4,6,3,0,0,0,0,4,58.325,5.8325,3,0,6,0,0,3,1,0,
Erik Stevenson,1,16.3,6,2,5,0.4,2,5,0.4,0,0,0,1,3,4,1,2,0,0,1,2,51.1,5.11,1,2,4,0,0,0,2,1,
Isaiah Stevens,2,17.3,6,2.5,6,0.417,1,3,0.333,0,0,0,0.5,1,1.5,2.5,0.5,1.5,0,1,12,57.05,5.705,1.25,0.25,0.75,0.75,0,0,0.5,0.5,
Jalen Crutcher,1,17.7,6,2,6,0.333,2,5,0.4,0,0,0,0,0,0,1,0,0,0,0,-7,33.433,3.3433,1,0,0,0,0,0,2,0,
Keion Brooks Jr.,2,17,6,1.5,3.5,0.429,0.5,1.5,0.333,2.5,3,0.833,2.5,0.5,3,0.5,0.5,1.5,0,2.5,0,48.095,4.8095,0.25,0.25,1.5,0.75,0,1.5,0.25,1.25,
Kendall Brown,1,7.4,6,2,4,0.5,1,1,1,1,2,0.5,0,1,1,0,0,0,0,0,6,34.4,3.44,0,0,1,0,0,2,1,0,
Lawson Lovering,2,16.6,6,2.5,3,0.833,0,0,0,1,4,0.25,2.5,2.5,5,0.5,1.5,0,0.5,4.5,1,52.183,5.2183,0.25,0.75,2.5,0,0.25,2,0,2.25,
Malik Williams,2,11.9,6,2.5,4.5,0.556,0.5,2,0.25,0.5,1.5,0.333,0.5,2,2.5,1,0.5,0.5,0.5,2.5,-8,32.539,3.2539,0.5,0.25,1.25,0.25,0.25,0.75,0.25,1.25,
Nell Joseph,1,15.5,6,3,5,0.6,0,0,0,0,0,0,3,4,7,0,1,1,2,2,2,52.1,5.21,0,1,7,1,2,0,0,2,
RJ Davis,2,12.5,6,2,6,0.333,0.5,3.5,0.143,1.5,2.5,0.6,0.5,0.5,1,3,1,0.5,0,2.5,-5,39.576,3.9576,1.5,0.5,0.5,0.25,0,1.25,0.25,1.25,
Trevor Keels,1,9.5,6,2,4,0.5,2,4,0.5,0,0,0,0,0,0,1,0,0,0,0,5,34.5,3.45,1,0,0,0,0,0,2,0,
Wooga Poplar,2,14.9,6,1.5,4.5,0.333,0.5,2.5,0.2,2.5,3,0.833,0,1,1,0.5,1,0,0,1,-16,25.266,2.5266,0.25,0.5,0.5,0,0,1.5,0.25,0.5,
Zhuric Phelps,1,11.2,6,3,3,1,0,0,0,0,3,0,1,0,1,2,0,1,2,0,8,42.2,4.22,2,0,1,1,2,3,0,0,
Harrison Ingram,2,20.8,5.5,2.5,7.5,0.333,0.5,2.5,0.2,0,0,0,1.5,6,7.5,4,1,0.5,0,3.5,12,75.833,7.5833,2,0.5,3.75,0.25,0,0,0.25,1.75,
Jameer Nelson Jr.,2,15,5.5,1,4,0.25,0,1.5,0,3.5,3.5,1,0,1,1,2.5,2.5,1,0,1,7,51.25,5.125,1.25,1.25,0.5,0.5,0,1.75,0,0.5,
Reece Beekman,2,19.9,5.5,1.5,5,0.3,0,0.5,0,2.5,2.5,1,0,1.5,1.5,8,2,1.5,0,0.5,-4,49.7,4.97,4,1,0.75,0.75,0,1.25,0,0.25,
Sion James,2,17.8,5.5,2,5.5,0.364,0,2.5,0,1.5,2,0.75,1,2.5,3.5,3,1,0.5,0.5,2,1,52.914,5.2914,1.5,0.5,1.75,0.25,0.25,1,0,1,
Tyler Smith,2,26.9,5.5,1.5,8,0.188,0.5,6,0.083,2,3.5,0.571,1,2.5,3.5,0,2,0,2,2.5,-1,67.242,6.7242,0,1,1.75,0,1,1.75,0.25,1.25,
Boo Buie,2,7.3,5,1,2.5,0.4,0.5,1.5,0.333,2.5,2.5,1,0,1.5,1.5,0.5,0.5,0,0,0,0,28.533,2.8533,0.25,0.25,0.75,0,0,1.25,0.25,0,
Cam Carter,1,7.2,5,2,4,0.5,1,3,0.333,0,0,0,0,3,3,2,1,0,0,1,10,43.033,4.3033,2,1,3,0,0,0,1,1,
Chibuzo Agbo,1,8.9,5,2,2,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,8,32.9,3.29,0,0,1,0,0,0,1,1,
Colin Castleton,1,16.6,5,2,6,0.333,1,2,0.5,0,0,0,4,4,8,0,3,1,1,4,12,70.433,7.0433,0,3,8,1,1,0,1,4,
Dmytro Skapintsev,2,10.1,5,1.5,3.5,0.429,1,2,0.5,1,1,1,1,1,2,1,0.5,0,1,4,7,44.529,4.4529,0.5,0.25,1,0,0.5,0.5,0.5,2,
Elijah Harkless,1,29.8,5,1,6,0.167,0,4,0,3,4,0.75,1,1,2,2,1,4,0,6,7,77.717,7.7717,2,1,2,4,0,4,0,6,
Grant Nelson,1,13.6,5,2,4,0.5,1,3,0.333,0,0,0,1,1,2,1,1,0,0,1,-9,27.433,2.7433,1,1,2,0,0,0,1,1,
Hunter Maldonado,2,12.4,5,2,4.5,0.444,1,3.5,0.286,0,0.5,0,1,0.5,1.5,0.5,0,1.5,0,1.5,7,43.13,4.313,0.25,0,0.75,0.75,0,0.25,0.5,0.75,
Hunter Sallis,2,27.1,5,1.5,8.5,0.176,0,2.5,0,2,3,0.667,0,3,3,2.5,1,1.5,1,1.5,-5,58.943,5.8943,1.25,0.5,1.5,0.75,0.5,1.5,0,0.75,
Kon Knueppel,1,29.9,5,1,8,0.125,0,5,0,3,6,0.5,0,1,1,4,3,1,0,3,6,77.525,7.7525,4,3,1,1,0,6,0,3,
Mark Armstrong,2,7.5,5,2,4.5,0.444,0.5,2,0.25,0.5,1,0.5,0.5,0.5,1,1,1,0.5,0,0.5,-11,18.194,1.8194,0.5,0.5,0.5,0.25,0,0.5,0.25,0.25,
Matthew Cleveland,2,13,5,2,5,0.4,0,0.5,0,1,1,1,3,1.5,4.5,1,0.5,0,0,1,-2,38.4,3.84,0.5,0.25,2.25,0,0,0.5,0,0.5,
Max Shulga,1,21.6,5,2,4,0.5,0,2,0,1,2,0.5,0,3,3,3,0,2,1,3,-2,51.6,5.16,3,0,3,2,1,2,0,3,
Maxwell Lewis,2,16.7,5,1,6,0.167,0.5,3,0.167,2.5,3,0.833,1.5,1,2.5,1.5,1,0,1,3,-2,48.367,4.8367,0.75,0.5,1.25,0,0.5,1.5,0.25,1.5,
Stanley Umude,2,14,5,2,5,0.4,0.5,2,0.25,0.5,1.5,0.333,0.5,1.5,2,0,0,1.5,0,1.5,-9,29.483,2.9483,0,0,1,0.75,0,0.75,0.25,0.75,
Will Riley,1,20.2,5,2,6,0.333,1,3,0.333,0,0,0,0,3,3,0,1,0,0,0,-11,33.866,3.3866,0,1,3,0,0,0,1,0,
Zyon Pullin,1,24.3,5,2,6,0.333,1,3,0.333,0,0,0,0,2,2,4,2,0,0,0,-3,48.966,4.8966,4,2,2,0,0,0,1,0,
DJ Carton,2,15,4.5,2,4.5,0.444,0,2,0,0.5,1,0.5,1.5,3,4.5,1,1.5,0.5,0,1.5,-5,38.944,3.8944,0.5,0.75,2.25,0.25,0,0.5,0,0.75,
Darius Brown,2,16,4.5,1,2.5,0.4,0,1,0,2.5,2.5,1,0,2.5,2.5,3.5,1.5,1,0,1.5,7,50.9,5.09,1.75,0.75,1.25,0.5,0,1.25,0,0.75,
Ty Brewer,2,11.5,4.5,2,4.5,0.444,0.5,1.5,0.333,0,1,0,1.5,1.5,3,0,1,1,0,1,-4,31.277,3.1277,0,0.5,1.5,0.5,0,0.5,0.25,0.5,
Aaron Estrada,2,11.8,4,2,4,0.5,0,0.5,0,0,0,0,0,0.5,0.5,1,1.5,0,0.5,0,-9,17.8,1.78,0.5,0.75,0.25,0,0.25,0,0,0,
Andre Jackson Jr.,2,21,4,1,2.5,0.4,1,1.5,0.667,1,1,1,1,2,3,3,2.5,0,0,4.5,2,53.067,5.3067,1.5,1.25,1.5,0,0,0.5,0.5,2.25,
Bub Carrington,1,32.2,4,1,9,0.111,1,5,0.2,1,2,0.5,1,2,3,5,0,2,0,2,-10,61.011,6.1011,5,0,3,2,0,2,1,2,
Chaney Johnson,1,14.3,4,1,2,0.5,0,1,0,2,2,1,1,4,5,0,3,0,0,3,10,53.8,5.38,0,3,5,0,0,2,0,3,
Daeqwon Plowden,2,12.8,4,1,4,0.25,1,3,0.333,1,1,1,0,3,3,1,0,0,0.5,0.5,5,42.383,4.2383,0.5,0,1.5,0,0.25,0.5,0.5,0.25,
Danny Wolf,1,20,4,0,5,0,0,3,0,4,4,1,0,6,6,2,4,0,1,2,-3,59,5.9,2,4,6,0,1,4,0,2,Stretch Big / Rim Protector
Dawson Garcia,1,13.6,4,2,3,0.667,0,1,0,0,0,0,2,3,5,1,2,0,1,6,-4,40.267,4.0267,1,2,5,0,1,0,0,6,
Jahmai Mashack,1,24.5,4,2,8,0.25,0,2,0,0,0,0,1,4,5,4,3,0,2,1,4,64.75,6.475,4,3,5,0,2,0,0,1,
James Nnaji,1,11.4,4,1,1,1,0,0,0,2,4,0.5,0,0,0,0,1,1,1,6,-2,31.9,3.19,0,1,0,1,1,4,0,6,
Jamir Watkins,1,14.2,4,2,4,0.5,0,1,0,0,0,0,0,1,1,0,0,3,0,2,-7,25.7,2.57,0,0,1,3,0,0,0,2,
Jarkel Joiner,1,4.5,4,2,2,1,0,0,0,0,1,0,0,2,2,1,0,0,0,1,9,29.5,2.95,1,0,2,0,0,1,0,1,
John Poulakidas,1,13.3,4,2,9,0.222,0,6,0,0,1,0,0,1,1,1,0,1,0,2,0,41.522,4.1522,1,0,1,1,0,1,0,2,
Kira Lewis Jr.,1,26,4,1,6,0.167,0,2,0,2,2,1,0,5,5,7,1,0,0,3,-6,59.167,5.9167,7,1,5,0,0,2,0,3,
Quincy Guerrier,1,6.4,4,1,1,1,0,0,0,2,2,1,0,0,0,0,0,0,0,1,7,26.4,2.64,0,0,0,0,0,2,0,1,
Steven Ashworth,2,9.1,4,1,2.5,0.4,0.5,2,0.25,1.5,1.5,1,0,0.5,0.5,1.5,3.5,0.5,0,1.5,-9,22.75,2.275,0.75,1.75,0.25,0.25,0,0.75,0.25,0.75,
William Hickey,1,4.5,4,0,1,0,0,0,0,4,4,1,2,1,3,0,1,0,0,2,-9,18.5,1.85,0,1,3,0,0,4,0,2,
Carter Bryant,2,22.9,3.5,0.5,6.5,0.077,0.5,4.5,0.111,2,2,1,0.5,3,3.5,1.5,3,0.5,2,3,12,72.588,7.2588,0.75,1.5,1.75,0.25,1,1,0.25,1.5,
Hunter Dickinson,2,12.1,3.5,1.5,2.5,0.6,0,0.5,0,0.5,1.5,0.333,0.5,2,2.5,1.5,1.5,0.5,1.5,2,3,38.033,3.8033,0.75,0.75,1.25,0.25,0.75,0.75,0,1,
Olivier Nkamhoua,2,12.1,3.5,1.5,3.5,0.429,0.5,1.5,0.333,0,0,0,1,0.5,1.5,1,1,0,0,0.5,-2,26.862,2.6862,0.5,0.5,0.75,0,0,0,0.25,0.25,
Yuki Kawamura,2,20.5,3.5,1,5,0.2,1,4.5,0.222,0.5,1,0.5,0,2,2,3.5,4,2,0,3.5,-19,35.922,3.5922,1.75,2,1,1,0,0.5,0.5,1.75,
Andrew Funk,1,13.8,3,1,2,0.5,1,2,0.5,0,0,0,0,0,0,2,0,0,0,1,4,30.8,3.08,2,0,0,0,0,0,1,1,
Ben Saraf,1,17.6,3,1,5,0.2,0,1,0,1,2,0.5,1,0,1,2,2,0,0,2,-11,28.3,2.83,2,2,1,0,0,2,0,2,
Caleb Daniels,1,11.5,3,0,2,0,0,2,0,3,4,0.75,0,1,1,0,0,0,0,2,-15,15.25,1.525,0,0,1,0,0,4,0,2,
Chris Ledlum,1,14.8,3,1,2,0.5,1,1,1,0,0,0,1,2,3,1,2,0,0,2,-3,32.3,3.23,1,2,3,0,0,0,1,2,
DaJaun Gordon,2,13.3,3,1,5.5,0.182,1,3,0.333,0,0,0,2,1.5,3.5,0.5,1,1.5,0,2,-7,32.315,3.2315,0.25,0.5,1.75,0.75,0,0,0.5,1,
David Muoka,2,14.6,3,1,3.5,0.286,0,0,0,1,1.5,0.667,1,2,3,1,1,1,0,1,-18,17.553,1.7553,0.5,0.5,1.5,0.5,0,0.75,0,0.5,
Donovan Williams,1,13,3,1,4,0.25,0,1,0,1,2,0.5,2,3,5,1,0,2,3,1,0,42.75,4.275,1,0,5,2,3,2,0,1,
Isaiah Mobley,1,24.7,3,0,9,0,0,4,0,3,4,0.75,0,5,5,4,5,0,0,6,-2,71.45,7.145,4,5,5,0,0,4,0,6,
Izan Almansa,2,4.4,3,1,1,1,0,0,0,1,1,1,0,0.5,0.5,0,0.5,0.5,0,0.5,-7,8.9,0.89,0,0.25,0.25,0.25,0,0.5,0,0.25,
Keyontae Johnson,1,12.4,3,1,3,0.333,0,1,0,1,2,0.5,1,1,2,2,0,0,0,3,-4,29.233,2.9233,2,0,2,0,0,2,0,3,
Leaky Black,1,9.4,3,0,3,0,0,3,0,3,4,0.75,0,3,3,1,2,1,0,2,-5,33.15,3.315,1,2,3,1,0,4,0,2,
Markquis Nowell,2,15.2,3,1,2.5,0.4,0.5,1.5,0.333,0.5,1,0.5,0.5,1,1.5,5,1.5,1.5,0,0.5,-3,34.933,3.4933,2.5,0.75,0.75,0.75,0,0.5,0.25,0.25,
Miller Kopp,1,11.1,3,1,3,0.333,1,3,0.333,0,0,0,0,0,0,0,0,0,0,3,-4,21.766,2.1766,0,0,0,0,0,0,1,3,
Moussa Cisse,2,14.6,3,1.5,3.5,0.429,0,0,0,0,0,0,2,2,4,0,0.5,0.5,1,2.5,-10,25.529,2.5529,0,0.25,2,0.25,0.5,0,0,1.25,
Rocco Zikarsky,2,6.5,3,1.5,2,0.75,0,0,0,0,0,0,1,1.5,2.5,0.5,0.5,0.5,0.5,1.5,1,23.25,2.325,0.25,0.25,1.25,0.25,0.25,0,0,0.75,
Taevion Kinsey,2,8.4,3,1.5,2,0.75,0,0.5,0,0,0,0,0.5,1,1.5,0,0,1,0,0.5,-1,19.65,1.965,0,0,0.75,0.5,0,0,0,0.25,
Tyreke Key,1,4.5,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,22.5,2.25,0,0,0,0,0,0,1,0,
Bogoljub Marković,2,11.4,2.5,0.5,2.5,0.2,0.5,2,0.25,1,2,0.5,0.5,0.5,1,0.5,1,0,0,2,-8,20.85,2.085,0.25,0.5,0.5,0,0,1,0.25,1,
Damion Baugh,2,10.9,2.5,1,3,0.333,0,0.5,0,0.5,2,0.25,0,0.5,0.5,1,1,0.5,0.5,1.5,2,28.483,2.8483,0.5,0.5,0.25,0.25,0.25,1,0,0.75,
Jamarion Sharp,2,17.8,2.5,1,1.5,0.667,0,0,0,0.5,1,0.5,1.5,3,4.5,0,1.5,0.5,1.5,2,3,42.967,4.2967,0,0.75,2.25,0.25,0.75,0.5,0,1,
Sean Pedulla,2,11.7,2.5,1,4,0.25,0.5,1.5,0.333,0,0,0,0,2.5,2.5,1.5,0.5,1,0,1.5,6,37.283,3.7283,0.75,0.25,1.25,0.5,0,0,0.25,0.75,
Trey Alexander,2,16.2,2.5,0.5,4,0.125,0,1,0,1.5,2,0.75,0,1,1,1,1.5,0,0,1,-5,29.075,2.9075,0.5,0.75,0.5,0,0,1,0,0.5,
Andrew Carr,2,10.1,2,1,2.5,0.4,0,1,0,0,0,0,0.5,2.5,3,0.5,0.5,0,0.5,1,-1,24.5,2.45,0.25,0.25,1.5,0,0.25,0,0,0.5,
Blake Hinson,1,8.9,2,1,6,0.167,0,5,0,0,0,0,0,0,0,0,2,0,1,1,-13,14.067,1.4067,0,2,0,0,1,0,0,1,
Christian Shumate,1,13.2,2,1,2,0.5,0,0,0,0,0,0,2,1,3,1,2,1,0,1,-2,27.7,2.77,1,2,3,1,0,0,0,1,
Chucky Hepburn,1,14,2,1,5,0.2,0,4,0,0,0,0,1,2,3,4,1,1,0,4,7,49.2,4.92,4,1,3,1,0,0,0,4,
Clifford Omoruyi,1,4.5,2,0,0,0,0,0,0,2,4,0.5,0,0,0,1,0,0,1,1,9,25,2.5,1,0,0,0,1,4,0,1,
Dwight Murray Jr.,1,9.9,2,1,4,0.25,0,0,0,0,0,0,0,1,1,3,0,0,0,1,-6,17.15,1.715,3,0,1,0,0,0,0,1,
