Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus/Minus,Euro Archetype,European Archetype
Cameron McGriff,10.0318,28.2,9.5,3.5,11.0,0.318,2.5,7.5,33.3,0.0,0.0,0.0,1.5,3.5,5.0,2.0,1.5,1.0,0.0,3.0,-13,,TBD
Jamal Shead,12.8409,23.0,9.5,3.0,8.5,0.353,1.0,2.5,40.0,2.5,4.5,0.556,1.5,1.5,3.0,5.0,3.0,2.0,0.0,4.0,13,,TBD
Taran Armstrong,10.5238,25.0,9.5,3.5,8.0,0.438,1.5,4.5,33.3,1.0,1.0,1.0,1.0,4.0,5.0,5.0,3.5,2.0,0.0,1.0,-5,,TBD
Ulrich Chomche,8.1745,21.0,9.5,3.0,5.5,0.545,0.0,0.0,0.0,3.5,5.0,0.7,2.5,2.5,5.0,1.5,0.0,3.0,1.5,2.0,15,,TBD
Kendall Brown,14.2288,14.1,9.3,3.7,5.3,0.688,0.7,0.7,100.0,1.3,1.7,0.8,0.0,1.0,1.0,0.3,0.7,0.7,0.0,1.3,-1,,TBD
Trentyn Flowers,10.8243,23.8,9.3,3.3,7.0,0.476,0.7,3.3,20.0,2.0,3.0,0.667,1.7,3.3,5.0,1.7,3.3,2.0,0.0,2.7,15,,TBD
Alijah Martin,11.1068,19.0,9.0,3.5,9.5,0.368,1.0,4.5,22.2,1.0,1.0,1.0,0.5,2.5,3.0,3.0,2.5,1.5,0.0,1.0,25,,TBD
Cameron Tyson,9.7929,14.8,9.0,3.0,7.0,0.429,3.0,6.5,46.2,0.0,0.0,0.0,0.5,2.0,2.5,2.0,0.0,0.0,0.0,2.0,-1,,TBD
Curtis Jones,10.1629,16.7,9.0,3.0,7.0,0.429,2.0,5.0,40.0,1.0,1.0,1.0,0.0,3.0,3.0,2.5,1.5,0.0,0.5,4.0,1,,TBD
Ethan Thompson,10.005,24.0,9.0,2.0,8.0,0.25,1.5,5.5,27.3,3.5,3.5,1.0,0.5,0.0,0.5,1.0,2.0,0.5,0.5,6.5,3,,TBD
Joan Beringer,8.1745,22.3,9.0,3.5,4.5,0.778,0.0,0.0,0.0,2.0,3.0,0.667,4.0,3.5,7.5,2.0,0.5,1.0,3.5,2.0,12,,TBD
Johni Broome,13.4767,16.3,9.0,3.5,7.5,0.467,2.0,2.5,80.0,0.0,0.0,0.0,3.0,1.0,4.0,1.5,1.0,1.0,0.5,3.5,-2,,TBD
Miles Norris,10.1725,24.3,9.0,3.0,8.0,0.375,1.5,5.5,27.3,1.5,2.0,0.75,1.5,3.5,5.0,1.0,2.0,1.5,1.0,4.0,-1,,TBD
Harrison Ingram,12.3275,24.4,8.7,3.0,8.0,0.375,1.3,3.7,36.4,1.3,1.3,1.0,2.0,7.7,9.7,4.7,1.7,0.3,0.0,2.7,5,,TBD
Lachlan Olbrich,9.9152,27.0,8.7,3.0,6.3,0.474,0.3,1.0,33.3,2.3,3.0,0.778,1.3,4.3,5.7,1.7,2.7,1.0,0.3,3.0,-7,,TBD
Ryan Kalkbrenner,10.119,26.8,8.7,3.3,7.0,0.476,0.3,1.7,20.0,1.7,2.3,0.714,2.3,3.0,5.3,2.3,1.3,0.7,2.3,2.0,9,,TBD
Bobi Klintman,13.715,29.9,8.5,3.0,7.5,0.4,1.0,3.5,28.6,1.5,2.0,0.75,0.5,8.0,8.5,2.5,2.5,1.5,1.0,3.0,23,,TBD
Jamison Battle,8.7962,19.6,8.5,3.0,6.5,0.462,2.0,5.5,36.4,0.5,1.0,0.5,0.5,0.5,1.0,1.0,2.0,0.5,0.0,1.5,-3,,TBD
Noah Penda,11.0144,28.0,8.5,4.0,9.0,0.444,0.5,3.0,16.7,0.0,0.0,0.0,1.0,7.5,8.5,3.0,3.5,2.5,0.5,1.5,12,,TBD
Jermaine Samuels Jr.,7.7517,19.8,8.3,3.0,6.7,0.45,0.3,1.7,20.0,2.0,3.0,0.667,2.0,2.3,4.3,0.0,2.0,0.0,0.3,2.7,-2,,TBD
Chris Ledlum,8.9774,16.9,8.0,3.0,6.3,0.474,1.3,3.3,40.0,0.7,1.3,0.5,1.7,2.3,4.0,0.3,1.7,0.0,2.0,1.0,-5,,TBD
Christian Koloko,9.1956,18.2,8.0,3.0,5.0,0.6,0.3,1.0,33.3,1.7,3.0,0.556,1.3,2.7,4.0,1.0,0.7,1.3,2.3,4.0,0,,TBD
Collin Murray-Boyles,7.99,22.8,8.0,3.0,5.0,0.6,0.0,2.0,0.0,2.0,4.0,0.5,5.0,2.0,7.0,1.0,5.0,3.0,1.0,8.0,0,,TBD
Daniel Batcho,11.69,7.4,8.0,3.0,3.0,1.0,1.0,1.0,100.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-14,,TBD
Erik Stevenson,10.9933,21.2,8.0,2.7,5.0,0.533,2.0,3.7,54.5,0.7,0.7,1.0,1.0,3.0,4.0,1.0,2.3,0.3,0.0,3.3,-5,,TBD
Jacksen Moni,9.825,7.8,8.0,3.0,4.0,0.75,2.0,3.0,66.7,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1,,TBD
Jalen Bridges,9.06,17.5,8.0,3.0,6.0,0.5,1.0,3.5,28.6,1.0,2.0,0.5,1.0,2.5,3.5,0.0,0.5,1.5,1.5,1.5,7,,TBD
Javan Johnson,12.65,17.2,8.0,3.0,5.0,0.6,2.0,3.0,66.7,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,2.0,2.0,8,,TBD
Jules Bernard,4.6973,18.7,8.0,3.0,11.0,0.273,0.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0,-13,,TBD
Keve Aluma,6.92,15.6,8.0,3.5,7.0,0.5,1.0,3.5,28.6,0.0,0.5,0.0,2.0,2.0,4.0,0.0,1.0,1.5,0.5,2.0,-12,,TBD
Nate Williams,8.9467,31.2,8.0,4.0,15.0,0.267,0.0,7.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,3.0,5.0,1.0,0.0,4.0,-1,,TBD
Adam Flagler,8.5283,18.4,7.7,2.7,8.0,0.333,1.3,4.3,30.8,1.0,1.3,0.75,1.0,0.7,1.7,2.0,1.0,0.7,0.3,1.3,0,,TBD
Jahmir Young,6.3891,21.1,7.7,3.0,7.7,0.391,0.3,2.0,16.7,1.3,1.3,1.0,0.7,1.3,2.0,5.3,2.7,0.7,0.0,0.7,-12,,TBD
Kobe Sanders,9.1474,15.1,7.7,3.0,6.3,0.474,1.0,2.3,42.9,0.7,0.7,1.0,0.3,1.0,1.3,2.0,1.7,0.7,0.0,2.3,1,,TBD
Osayi Osifo,6.9033,19.0,7.7,3.7,5.0,0.733,0.0,0.0,0.0,0.3,0.3,1.0,1.0,3.7,4.7,1.0,0.0,0.3,1.3,4.3,15,,TBD
PJ Hall,9.2213,11.2,7.7,3.0,5.3,0.563,0.7,1.7,40.0,1.0,1.3,0.75,1.3,2.7,4.0,1.0,1.7,0.3,1.0,4.0,3,,TBD
Saliou Niang,8.9601,22.5,7.7,2.3,5.7,0.412,0.3,1.7,20.0,2.7,3.0,0.889,2.7,4.0,6.7,1.3,2.3,0.7,0.0,2.7,2,,TBD
Ariel Hukporti,6.1381,21.2,7.5,2.5,4.5,0.556,0.0,0.0,0.0,2.5,4.0,0.625,4.0,5.0,9.0,1.5,3.0,1.0,2.5,5.0,-13,,TBD
E.J. Liddell,9.4983,23.8,7.5,2.5,7.5,0.333,1.0,3.5,28.6,1.5,2.0,0.75,4.0,5.0,9.0,0.5,3.5,0.0,0.5,3.5,-10,,TBD
Jesse Edwards,4.5357,14.5,7.5,3.0,3.5,0.857,0.0,0.0,0.0,1.5,3.0,0.5,0.5,1.5,2.0,0.5,0.5,0.5,0.5,3.0,2,,TBD
Maozinha Pereira,8.5145,21.1,7.5,3.0,5.5,0.545,1.5,3.0,50.0,0.0,0.0,0.0,0.5,2.0,2.5,1.0,1.5,0.0,0.0,1.5,-16,,TBD
MarJon Beauchamp,4.63,20.9,7.5,3.0,10.0,0.3,0.0,3.5,0.0,1.5,2.5,0.6,0.5,2.5,3.0,1.0,1.0,0.0,1.0,1.5,-14,,TBD
Zakai Zeigler,8.6185,17.8,7.5,2.5,6.5,0.385,1.0,2.5,40.0,1.5,1.5,1.0,0.0,1.0,1.0,1.5,2.5,1.0,0.0,3.0,-6,,TBD
Kira Lewis Jr.,7.9268,25.5,7.3,2.3,6.3,0.368,0.3,2.3,14.3,2.3,3.3,0.7,0.7,3.7,4.3,3.0,2.7,0.3,0.3,2.3,-3,,TBD
Yuki Kawamura,8.6011,22.9,7.3,2.0,6.0,0.333,1.0,4.0,25.0,2.3,3.0,0.778,0.0,1.7,1.7,5.7,3.7,2.3,0.0,4.3,-8,,TBD
Adem Bona,4.6067,19.1,7.0,3.5,7.5,0.467,0.0,0.5,0.0,0.0,0.0,0.0,3.5,2.0,5.5,1.0,3.0,1.5,2.5,3.0,-14,,TBD
Alondes Williams,11.0571,17.3,7.0,2.0,3.5,0.571,2.0,3.0,66.7,1.0,1.0,1.0,0.0,2.5,2.5,2.0,2.0,1.0,0.5,3.0,-8,,TBD
Caleb Grill,7.3685,17.5,7.0,2.5,6.5,0.385,2.0,6.0,33.3,0.0,0.0,0.0,0.0,1.5,1.5,0.5,0.5,1.5,0.0,3.0,-10,,TBD
Coleman Hawkins,10.0,17.1,7.0,3.0,5.0,0.6,1.0,3.0,33.3,0.0,0.0,0.0,2.0,5.0,7.0,4.0,2.0,2.0,0.0,3.0,5,,TBD
Craig Porter Jr.,13.85,6.5,7.0,2.0,2.0,1.0,1.0,1.0,100.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,9,,TBD
Darius Bazley,11.5254,26.0,7.0,2.3,4.3,0.538,0.3,1.0,33.3,2.0,6.3,0.316,2.3,6.0,8.3,3.0,2.3,1.0,2.0,3.0,4,,TBD
Elijah Harkless,8.2813,23.8,7.0,1.7,6.3,0.263,0.7,4.0,16.7,3.0,4.0,0.75,1.0,2.0,3.0,1.3,0.7,2.0,0.3,3.3,1,,TBD
Emanuel Miller,6.02,16.8,7.0,2.0,5.0,0.4,0.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,14,,TBD
Gabe McGlothan,9.78,18.3,7.0,2.5,5.0,0.5,2.0,4.0,50.0,0.0,0.0,0.0,1.5,3.0,4.5,0.0,0.5,0.5,0.0,0.5,-2,,TBD
Hason Ward,4.9775,12.9,7.0,3.5,4.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,3.5,2.0,1.0,0.5,0.5,3.5,7,,TBD
Jaylen Clark,10.075,27.3,7.0,2.5,10.0,0.25,1.0,5.5,18.2,1.0,2.0,0.5,1.0,2.0,3.0,2.0,0.5,2.0,1.0,3.0,11,,TBD
Moses Wood,7.352,20.1,7.0,2.7,8.3,0.32,1.0,5.7,17.6,0.7,1.3,0.5,0.3,3.0,3.3,2.0,1.0,0.3,1.7,1.7,-5,,TBD
Obinna Anochili-Killen,13.66,6.6,7.0,3.0,3.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,7,,TBD
Phlandrous Fleming Jr.,9.0967,16.3,7.0,2.5,6.0,0.417,0.5,2.0,25.0,1.5,2.0,0.75,2.0,4.5,6.5,3.0,1.5,0.5,0.0,1.0,8,,TBD
Rasheer Fleming,6.47,13.9,7.0,3.0,6.0,0.5,1.0,3.0,33.3,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,-12,,TBD
Skal Labissiere,6.1117,16.7,7.0,2.5,6.0,0.417,0.0,1.0,0.0,2.0,2.0,1.0,1.5,2.0,3.5,2.0,1.5,0.0,1.5,4.5,6,,TBD
Tyler Burton,7.1467,16.1,7.0,2.5,6.0,0.417,0.5,3.0,16.7,1.5,2.0,0.75,1.0,3.5,4.5,1.5,1.0,0.5,0.5,0.5,2,,TBD
Vladislav Goldin,5.4304,14.4,7.0,2.5,3.0,0.833,0.0,0.0,0.0,2.0,3.5,0.571,0.5,2.5,3.0,0.5,2.5,0.0,0.0,1.5,10,,TBD
N'Faly Dante,3.9092,15.8,6.7,3.0,4.3,0.692,0.0,0.0,0.0,0.7,1.3,0.5,2.0,1.0,3.0,1.3,0.7,0.7,1.7,3.7,-8,,TBD
Robert Baker,6.4405,13.2,6.7,2.3,5.3,0.438,0.7,2.3,28.6,1.3,2.0,0.667,1.3,2.3,3.7,1.3,0.0,1.0,0.3,1.0,-10,,TBD
Alex Schumacher,10.74,6.4,6.5,2.5,5.0,0.5,1.5,2.0,75.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,0.5,0.0,0.0,1.0,4,,TBD
Amari Bailey,10.2267,12.2,6.5,2.0,5.0,0.4,0.5,1.0,50.0,2.0,3.0,0.667,1.0,2.0,3.0,2.5,0.5,0.5,0.0,0.5,9,,TBD
Chris Manon,5.5456,16.0,6.5,2.0,5.0,0.4,0.0,1.0,0.0,2.5,4.5,0.556,1.5,2.5,4.0,1.5,2.0,0.5,2.0,3.0,0,,TBD
Dink Pate,8.7386,15.3,6.5,2.0,7.0,0.286,1.0,3.0,33.3,1.5,1.5,1.0,1.5,3.0,4.5,3.0,0.0,0.5,0.0,1.5,1,,TBD
Jamal Cain,6.5,18.0,6.5,3.0,6.0,0.5,0.5,2.5,20.0,0.0,0.0,0.0,1.0,2.0,3.0,0.5,0.0,0.0,0.0,1.5,0,,TBD
Trevor Keels,7.8944,11.6,6.5,2.0,4.5,0.444,1.5,3.5,42.9,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5,1,,TBD
Tristen Newton,8.3875,16.4,6.5,2.0,6.5,0.308,1.5,4.0,37.5,1.0,1.5,0.667,0.5,1.0,1.5,2.0,1.0,1.0,0.0,2.0,-3,,TBD
Tyler Kolek,6.1958,28.0,6.5,2.5,12.0,0.208,0.0,5.5,0.0,1.5,2.0,0.75,1.5,2.5,4.0,6.0,4.5,1.0,1.5,2.0,-20,,TBD
Bogoljub Marković,7.0663,15.3,6.3,1.7,4.3,0.385,0.7,2.0,33.3,2.3,3.0,0.778,0.7,0.7,1.3,1.0,1.3,0.3,0.0,2.3,-7,,TBD
Isaiah Crawford,10.4238,17.1,6.3,2.3,5.3,0.438,1.3,3.0,44.4,0.3,0.7,0.5,1.0,2.3,3.3,1.0,1.0,1.7,1.0,1.3,10,,TBD
Maxwell Lewis,6.9694,16.0,6.3,2.0,7.7,0.261,0.7,3.0,22.2,1.7,2.0,0.833,1.3,1.0,2.3,1.7,1.0,0.3,0.7,2.7,-4,,TBD
Daeqwon Plowden,8.5185,12.4,6.0,1.7,4.3,0.385,1.3,3.3,40.0,1.3,1.7,0.8,0.0,2.0,2.0,0.7,0.0,0.0,1.0,0.3,6,,TBD
Denver Jones,5.2922,14.2,6.0,2.0,9.0,0.222,0.0,5.0,0.0,2.0,4.0,0.5,2.0,2.0,4.0,0.0,1.0,1.0,0.0,2.0,-2,,TBD
Jack White,9.54,21.2,6.0,2.0,5.0,0.4,1.0,3.0,33.3,1.0,1.0,1.0,0.0,1.5,1.5,1.5,1.0,2.0,1.5,0.5,11,,TBD
Jordan Hall,7.4121,20.0,6.0,2.7,6.3,0.421,0.7,2.7,25.0,0.0,0.0,0.0,0.7,3.3,4.0,2.0,2.0,1.0,0.3,3.0,-6,,TBD
Keion Brooks Jr.,8.1062,17.0,6.0,1.5,3.5,0.429,0.5,1.5,33.3,2.5,3.0,0.833,2.5,0.5,3.0,0.5,0.5,1.5,0.0,2.5,0,,TBD
Lawson Lovering,5.2183,16.6,6.0,2.5,3.0,0.833,0.0,0.0,0.0,1.0,4.0,0.25,2.5,2.5,5.0,0.5,1.5,0.0,0.5,4.5,1,,TBD
Leaky Black,7.5767,12.6,6.0,1.5,3.0,0.5,1.0,2.5,40.0,2.0,3.0,0.667,0.0,2.5,2.5,1.0,1.5,1.0,0.0,3.5,-9,,TBD
Leopold Delaunay,5.44,16.9,6.0,3.0,6.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,2.0,0.0,0.0,2.0,1,,TBD
Max Shulga,7.4956,22.6,6.0,1.7,6.0,0.278,0.3,3.0,11.1,2.3,3.0,0.778,0.0,1.3,1.3,4.3,0.3,1.7,0.3,3.7,5,,TBD
Mohamed Diawara,7.9405,20.2,6.0,2.5,5.5,0.455,0.5,2.0,25.0,0.5,2.0,0.25,1.5,3.5,5.0,1.0,1.0,1.0,0.0,0.5,1,,TBD
Nell Joseph,5.7263,17.3,6.0,3.0,5.3,0.563,0.0,0.3,0.0,0.0,0.7,0.0,2.7,3.7,6.3,2.3,0.7,1.0,1.7,2.7,3,,TBD
RJ Davis,5.3733,12.5,6.0,2.0,6.0,0.333,0.5,3.5,14.3,1.5,2.5,0.6,0.5,0.5,1.0,3.0,1.0,0.5,0.0,2.5,-5,,TBD
Solomon Young,8.4867,4.7,6.0,2.0,3.0,0.667,1.0,2.0,50.0,1.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10,,TBD
Wooga Poplar,4.5066,14.9,6.0,1.5,4.5,0.333,0.5,2.5,20.0,2.5,3.0,0.833,0.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0,-16,,TBD
Andre Jackson Jr.,11.33,21.5,5.7,1.7,3.3,0.5,1.0,1.7,60.0,1.3,1.3,1.0,0.7,2.7,3.3,4.0,3.3,0.7,0.3,3.3,-4,,TBD
Isaiah Stevens,9.4875,16.7,5.7,2.0,5.3,0.375,0.7,2.0,33.3,1.0,2.0,0.5,1.3,2.0,3.3,3.0,0.7,1.0,0.0,1.0,13,,TBD
Tyler Smith,6.7902,26.6,5.7,2.0,8.7,0.231,0.3,6.0,5.6,1.3,2.3,0.571,1.0,3.0,4.0,0.0,2.0,0.0,1.3,2.3,-5,,TBD
Amari Williams,4.7733,18.8,5.5,1.5,2.5,0.6,0.0,0.0,0.0,2.5,3.0,0.833,0.5,2.5,3.0,1.5,2.0,0.5,1.0,2.5,-1,,TBD
Caleb Daniels,8.335,11.5,5.5,1.5,2.5,0.6,1.0,2.0,50.0,1.5,2.0,0.75,1.0,2.0,3.0,0.5,0.0,0.5,0.0,2.5,-5,,TBD
Reece Beekman,4.97,19.9,5.5,1.5,5.0,0.3,0.0,0.5,0.0,2.5,2.5,1.0,0.0,1.5,1.5,8.0,2.0,1.5,0.0,0.5,-4,,TBD
Sion James,5.2914,17.8,5.5,2.0,5.5,0.364,0.0,2.5,0.0,1.5,2.0,0.75,1.0,2.5,3.5,3.0,1.0,0.5,0.5,2.0,1,,TBD
Mylik Wilson,6.45,15.3,5.3,2.3,4.7,0.5,0.3,2.0,16.7,0.3,0.3,1.0,1.0,1.7,2.7,2.0,0.7,2.7,0.0,3.0,2,,TBD
Stanley Umude,6.5933,13.5,5.3,2.0,5.0,0.4,1.0,2.7,37.5,0.3,1.0,0.333,0.3,1.3,1.7,0.0,0.3,2.0,0.0,2.3,-11,,TBD
Ben Saraf,4.7044,19.3,5.0,1.5,5.0,0.3,0.0,1.5,0.0,2.0,4.5,0.444,0.5,1.0,1.5,4.0,3.0,0.5,0.0,2.0,-5,,TBD
Boo Buie,6.15,7.3,5.0,1.0,2.5,0.4,0.5,1.5,33.3,2.5,2.5,1.0,0.0,1.5,1.5,0.5,0.5,0.0,0.0,0.0,0,,TBD
Cam Carter,7.6,7.2,5.0,2.0,4.0,0.5,1.0,3.0,33.3,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,10,,TBD
Dain Dainja,2.8033,13.2,5.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,3.0,1.0,2.0,0.0,0.0,3.0,-13,,TBD
Dmytro Skapintsev,9.4029,10.1,5.0,1.5,3.5,0.429,1.0,2.0,50.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.0,1.0,4.0,7,,TBD
Hunter Sallis,5.8943,27.1,5.0,1.5,8.5,0.176,0.0,2.5,0.0,2.0,3.0,0.667,0.0,3.0,3.0,2.5,1.0,1.5,1.0,1.5,-5,,TBD
Kobe Johnson,3.7344,13.9,5.0,2.0,4.5,0.444,0.0,1.0,0.0,1.0,2.0,0.5,1.5,2.0,3.5,0.0,2.5,1.5,0.0,1.0,-5,,TBD
Mark Armstrong,4.2944,7.5,5.0,2.0,4.5,0.444,0.5,2.0,25.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.0,0.5,-11,,TBD
Zyon Pullin,8.1933,24.3,5.0,2.0,6.0,0.333,1.0,3.0,33.3,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,-3,,TBD
Max Abmas,5.3233,18.4,4.7,2.0,6.0,0.333,0.7,3.0,22.2,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.0,1.0,0.0,2.3,-10,,TBD
Moussa Cisse,3.19,15.1,4.7,2.3,4.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.3,4.0,0.0,0.3,1.0,1.3,2.0,-8,,TBD
DJ Carton,3.8944,15.0,4.5,2.0,4.5,0.444,0.0,2.0,0.0,0.5,1.0,0.5,1.5,3.0,4.5,1.0,1.5,0.5,0.0,1.5,-5,,TBD
Danny Wolf,8.74,23.7,4.5,1.0,5.0,0.2,0.5,2.5,20.0,2.0,2.0,1.0,1.0,7.0,8.0,2.0,3.5,1.5,2.5,3.5,-4,,TBD
Darius Brown,5.09,16.0,4.5,1.0,2.5,0.4,0.0,1.0,0.0,2.5,2.5,1.0,0.0,2.5,2.5,3.5,1.5,1.0,0.0,1.5,7,,TBD
Devone Grant,7.21,10.9,4.5,1.5,5.0,0.3,1.5,3.5,42.9,0.0,0.0,0.0,0.0,0.5,0.5,2.5,1.5,0.5,0.0,1.5,-5,,TBD
Grant Nelson,6.73,12.9,4.5,1.5,2.5,0.6,0.5,1.5,33.3,1.0,1.0,1.0,1.0,1.0,2.0,1.5,1.5,0.0,0.0,3.0,-3,,TBD
Jamir Watkins,3.8583,16.0,4.5,1.0,4.0,0.25,0.0,2.0,0.0,2.5,3.0,0.833,1.0,1.5,2.5,0.5,0.0,2.5,0.0,2.5,-6,,TBD
Ty Brewer,6.4244,11.5,4.5,2.0,4.5,0.444,0.5,1.5,33.3,0.0,1.0,0.0,1.5,1.5,3.0,0.0,1.0,1.0,0.0,1.0,-4,,TBD
Warith Alatishe,4.5867,17.7,4.5,2.0,3.0,0.667,0.0,0.0,0.0,0.5,1.0,0.5,2.5,2.0,4.5,1.0,0.5,0.5,2.5,0.5,2,,TBD
Zhuric Phelps,5.7986,13.5,4.5,2.0,7.0,0.286,0.5,3.0,16.7,0.0,1.5,0.0,0.5,1.0,1.5,2.0,0.5,0.5,1.0,1.0,1,,TBD
Arthur Kaluma,6.9655,12.8,4.3,1.7,3.7,0.455,0.7,1.7,40.0,0.3,0.7,0.5,0.3,1.7,2.0,0.7,0.7,0.0,0.7,2.7,-6,,TBD
Jameer Nelson Jr.,4.1633,11.6,4.3,1.0,3.0,0.333,0.0,1.0,0.0,2.3,2.3,1.0,0.0,0.7,0.7,2.0,1.7,1.0,0.0,0.7,8,,TBD
Kyle Mangas,6.7783,14.5,4.3,1.3,4.0,0.333,0.7,3.3,20.0,1.0,1.3,0.75,0.3,1.3,1.7,1.7,1.0,0.3,0.0,1.0,9,,TBD
Malik Williams,5.0956,9.0,4.3,1.7,3.0,0.556,0.3,1.3,25.0,0.7,1.7,0.4,0.7,1.7,2.3,0.7,0.3,0.3,0.3,1.7,-5,,TBD
Matthew Cleveland,6.4713,14.7,4.3,1.7,5.3,0.313,0.3,1.3,25.0,0.7,0.7,1.0,2.3,1.7,4.0,0.7,1.3,0.0,0.7,1.7,-3,,TBD
Yanic Konan Niederhäuser,5.5129,24.1,4.3,2.0,4.7,0.429,0.0,0.7,0.0,0.3,0.7,0.5,1.0,4.0,5.0,0.0,1.7,2.0,1.7,3.0,-1,,TBD
Aaron Estrada,1.78,11.8,4.0,2.0,4.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.5,0.0,0.5,0.0,-9,,TBD
Carter Bryant,7.7958,25.3,4.0,1.0,8.0,0.125,0.3,4.0,8.3,1.7,2.0,0.833,0.7,3.3,4.0,1.0,2.7,0.7,2.0,4.0,4,,TBD
Chucky Hepburn,7.5033,14.7,4.0,1.5,4.5,0.333,1.0,4.0,25.0,0.0,0.0,0.0,0.5,1.0,1.5,4.0,1.5,1.5,0.0,4.0,6,,TBD
David Muoka,2.6167,12.6,4.0,1.7,3.3,0.5,0.0,0.0,0.0,0.7,1.0,0.667,1.3,2.0,3.3,0.7,0.7,0.7,0.3,0.7,-8,,TBD
Dawson Garcia,4.0267,13.6,4.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,2.0,0.0,1.0,6.0,-4,,TBD
Great Osobor,4.4605,12.8,4.0,1.7,3.7,0.455,0.0,0.3,0.0,0.7,2.7,0.25,1.7,3.3,5.0,1.0,1.0,0.7,0.3,2.0,3,,TBD
Hunter Maldonado,5.9655,13.3,4.0,1.7,3.7,0.455,0.7,2.3,28.6,0.0,0.3,0.0,0.7,0.3,1.0,0.7,0.0,1.3,0.3,1.3,-1,,TBD
Jahmai Mashack,6.475,24.5,4.0,2.0,8.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,4.0,3.0,0.0,2.0,1.0,4,,TBD
Jarkel Joiner,2.95,4.5,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,9,,TBD
Jaylin Williams,4.1367,18.2,4.0,1.0,6.0,0.167,0.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,0.0,0.0,-7,,TBD
Kadin Shedrick,4.38,11.3,4.0,1.0,3.0,0.333,0.0,0.5,0.0,2.0,3.0,0.667,2.0,0.0,2.0,1.0,0.0,1.5,1.0,3.5,7,,TBD
Khalif Battle,6.8908,14.2,4.0,1.0,2.7,0.375,0.3,1.0,33.3,1.7,2.0,0.833,0.3,1.0,1.3,1.0,2.0,0.3,0.3,2.3,-1,,TBD
Matt Cross,8.4467,22.8,4.0,1.0,6.0,0.167,1.0,4.0,25.0,1.0,2.0,0.5,3.0,6.0,9.0,2.0,2.0,0.0,1.0,4.0,-10,,TBD
Quincy Guerrier,2.64,6.4,4.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,,TBD
William Hickey,1.85,4.5,4.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,-9,,TBD
Markquis Nowell,7.2831,18.1,3.7,1.0,4.3,0.231,0.7,3.0,22.2,1.0,1.7,0.6,0.3,1.3,1.7,6.3,1.7,1.0,0.3,1.7,2,,TBD
Taevion Kinsey,7.2714,9.4,3.7,1.7,2.3,0.714,0.3,0.7,50.0,0.0,0.0,0.0,0.3,1.0,1.3,0.0,0.0,1.0,0.0,0.3,0,,TBD
Blake Hinson,3.8054,10.9,3.5,1.0,6.5,0.154,0.5,5.0,10.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,1.0,0.0,0.5,0.5,-6,,TBD
