Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus/Minus,Euro Archetype,European Archetype
Pelle Larsson,13.0461,29.0,18.0,4.3,10.0,0.433,1.3,4.0,33.3,8.0,9.7,0.828,0.0,2.3,2.3,3.7,4.3,0.7,0.0,2.3,-4,,TBD
Cody Williams,13.5635,32.4,17.7,6.7,16.3,0.408,1.7,7.3,22.7,2.7,3.7,0.727,0.7,4.3,5.0,3.0,2.0,2.3,0.7,3.3,2,,TBD
Ryan Dunn,14.0183,25.7,17.5,6.5,10.0,0.65,2.0,4.0,50.0,2.5,3.0,0.833,2.0,3.5,5.5,2.5,1.0,1.5,0.0,2.5,-1,,TBD
Kel'el Ware,15.8662,28.9,17.3,6.7,12.7,0.526,1.7,2.7,62.5,2.3,3.7,0.636,2.3,7.7,10.0,0.7,1.0,1.3,1.7,3.3,-9,,TBD
Kyshawn George,13.9079,31.5,17.0,7.0,17.0,0.412,2.0,8.5,23.5,1.0,1.5,0.667,1.5,6.5,8.0,4.5,3.5,4.0,0.0,5.0,-4,,TBD
Cam Christie,14.837,32.2,16.7,5.0,12.3,0.405,2.3,6.7,35.0,4.3,5.7,0.765,0.7,4.3,5.0,3.7,2.3,1.7,0.0,1.3,8,,TBD
Ajay Mitchell,16.0986,27.0,16.5,5.0,12.0,0.417,1.5,4.5,33.3,5.0,6.5,0.769,1.0,4.5,5.5,4.5,6.5,1.5,0.5,4.5,20,,TBD
Jamaree Bouyea,13.6348,23.4,16.5,6.5,14.5,0.448,3.5,7.0,50.0,0.0,0.0,0.0,1.0,2.5,3.5,4.0,0.0,2.5,0.5,1.5,-1,,TBD
Jase Richardson,13.9365,23.4,16.5,5.0,9.0,0.556,1.5,3.0,50.0,5.0,5.5,0.909,0.0,1.5,1.5,2.5,1.0,0.5,1.0,4.0,7,,TBD
Judah Mintz,10.8642,27.1,16.5,3.5,10.0,0.35,0.5,2.0,25.0,9.0,13.0,0.692,0.5,2.0,2.5,3.5,0.5,0.5,0.0,3.5,-12,,TBD
Maxime Raynaud,13.3138,27.8,16.5,7.0,13.0,0.538,1.5,4.5,33.3,1.0,1.0,1.0,2.0,3.5,5.5,2.0,0.5,1.0,0.0,4.5,7,,TBD
Enrique Freeman,16.0509,26.8,16.3,4.7,7.3,0.636,1.3,2.3,57.1,5.7,7.3,0.773,3.0,6.3,9.3,1.7,2.0,1.0,2.0,4.0,1,,TBD
