Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus/Minus,European Archetype
DaJaun Gordon,7.1782,13.3,3.0,1.0,5.5,0.182,1.0,3.0,33.3,0.0,0.0,0.0,2.0,1.5,3.5,0.5,1.0,1.5,0.0,2.0,-0.5,TBD
Max Abmas,7.1733,18.4,4.7,2.0,6.0,0.333,0.7,3.0,22.2,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.0,1.0,0.0,2.3,8.5,TBD
Mylik Wilson,7.15,15.3,5.3,2.3,4.7,0.5,0.3,2.0,16.7,0.3,0.3,1.0,1.0,1.7,2.7,2.0,0.7,2.7,0.0,3.0,9.0,TBD
Yuri Collins,7.124,25.4,9.7,3.7,8.3,0.44,0.0,1.0,0.0,2.3,2.3,1.0,0.7,2.3,3.0,5.0,3.0,1.0,0.3,2.3,-0.5,TBD
Boo Buie,7.05,7.3,5.0,1.0,2.5,0.4,0.5,1.5,33.3,2.5,2.5,1.0,0.0,1.5,1.5,0.5,0.5,0.0,0.0,0.0,9.0,TBD
Markquis Nowell,7.0331,18.1,3.7,1.0,4.3,0.231,0.7,3.0,22.2,1.0,1.7,0.6,0.3,1.3,1.7,6.3,1.7,1.0,0.3,1.7,-0.5,TBD
Olivier Nkamhoua,7.0329,12.1,3.5,1.5,3.5,0.429,0.5,1.5,33.3,0.0,0.0,0.0,1.0,0.5,1.5,1.0,1.0,0.0,0.0,0.5,8.5,TBD
Jalen Crutcher,6.9933,14.6,3.0,1.0,3.0,0.333,1.0,2.5,40.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.5,0.0,0.0,0.5,-0.5,TBD
Grant Nelson,6.98,12.9,4.5,1.5,2.5,0.6,0.5,1.5,33.3,1.0,1.0,1.0,1.0,1.0,2.0,1.5,1.5,0.0,0.0,3.0,-0.5,TBD
Jahmai Mashack,6.975,24.5,4.0,2.0,8.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,4.0,3.0,0.0,2.0,1.0,9.0,TBD
Hunter Maldonado,6.9655,13.3,4.0,1.7,3.7,0.455,0.7,2.3,28.6,0.0,0.3,0.0,0.7,0.3,1.0,0.7,0.0,1.3,0.3,1.3,9.0,TBD
