Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus/Minus,European Archetype
Kadin Shedrick,3.63,11.3,4.0,1.0,3.0,0.333,0.0,0.5,0.0,2.0,3.0,0.667,2.0,0.0,2.0,1.0,0.0,1.5,1.0,3.5,-0.5,TBD
William Hickey,3.6,4.5,4.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,8.5,TBD
Aaron Estrada,3.53,11.8,4.0,2.0,4.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.5,0.0,0.5,0.0,8.5,TBD
Jeremy Jones,3.5225,13.1,1.0,0.5,4.0,0.125,0.0,3.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,0.5,0.5,0.5,0.0,0.0,9.0,TBD
Hunter Dickinson,3.4533,12.1,3.5,1.5,2.5,0.6,0.0,0.5,0.0,0.5,1.5,0.333,0.5,2.0,2.5,1.5,1.5,0.5,1.5,2.0,-0.5,TBD
Andrew Carr,3.45,10.1,2.0,1.0,2.5,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.5,2.5,3.0,0.5,0.5,0.0,0.5,1.0,9.0,TBD
David Muoka,3.3667,12.6,4.0,1.7,3.3,0.5,0.0,0.0,0.0,0.7,1.0,0.667,1.3,2.0,3.3,0.7,0.7,0.7,0.3,0.7,-0.5,TBD
Marques Bolden,3.35,9.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,8.5,TBD
Luka Scuka,3.1778,9.5,3.0,0.5,4.5,0.111,0.0,2.5,0.0,2.0,3.0,0.667,1.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,-0.5,TBD
Steve Settle III,3.13,12.8,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,8.5,TBD
Rocco Zikarsky,3.125,6.5,3.0,1.5,2.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.5,0.5,0.5,0.5,0.5,1.5,9.0,TBD
Cameron Brown,3.1,13.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.5,0.0,1.0,0.5,1.5,9.0,TBD
Moses Brown,3.0967,4.9,2.0,0.3,0.7,0.5,0.0,0.0,0.0,1.3,2.0,0.667,1.7,2.0,3.7,0.3,0.3,0.3,0.0,1.3,9.0,TBD
Zack Austin,3.07,10.2,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.5,TBD
Trey Jemison III,3.05,10.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,2.0,1.0,1.5,0.5,0.0,1.5,8.5,TBD
Chase Hunter,3.0311,12.2,1.0,0.5,4.5,0.111,0.0,2.0,0.0,0.0,0.0,0.0,0.5,2.0,2.5,1.0,2.5,0.5,0.0,1.5,-0.5,TBD
Jaden Springer,2.93,16.8,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,-0.5,TBD
Quincy Guerrier,2.84,6.4,4.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,TBD
James Nnaji,2.7867,10.2,3.0,0.5,0.5,1.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.5,0.5,0.0,1.0,1.5,0.5,3.5,-0.5,TBD
Isaac Nogues,2.72,10.2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,9.0,TBD
Jon Elmore,2.7,11.5,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-0.5,TBD
Jalen Slawson,2.69,14.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,2.0,2.0,0.0,-0.5,TBD
Brandon Angel,2.68,7.8,2.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,1.5,8.5,TBD
Dillon Jones,2.67,8.7,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,9.0,TBD
Buddy Boeheim,2.65,8.5,0.0,0.0,3.5,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,9.0,TBD
Nate Santos,2.63,6.8,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.5,1.0,0.5,0.0,1.0,9.0,TBD
Erik Reynolds II,2.62,8.3,2.0,1.0,2.5,0.4,0.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,9.0,TBD
Jordan Gainey,2.59,5.9,2.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,9.0,TBD
Jaxson Robinson,2.54,9.9,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,9.0,TBD
Stefan Todorovic,2.52,6.7,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,TBD
Ibrahima Diallo,2.4533,7.9,1.3,0.3,1.0,0.333,0.0,0.0,0.0,0.7,1.3,0.5,0.7,3.0,3.7,1.0,1.3,0.0,1.0,1.0,-0.5,TBD
Clifford Omoruyi,2.45,4.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,8.5,TBD
Josiah-Jordan James,2.395,12.2,2.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,-0.5,TBD
Landers Nolley II,2.33,5.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.5,TBD
Dwight Murray Jr.,2.23,9.8,3.0,1.5,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.5,1.0,0.0,0.0,0.5,-0.5,TBD
Saint Thomas,2.19,4.4,2.0,1.0,2.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5,9.0,TBD
Aaron Scott,2.18,5.3,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.5,TBD
Julian Reese,2.17,7.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,-0.5,TBD
Selton Miguel,2.1233,4.9,1.0,0.5,1.5,0.333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.5,0.0,0.0,0.5,8.5,TBD
Aliou Diarra,2.105,1.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,TBD
Wade Taylor IV,2.08,5.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,9.0,TBD
Mitch Mascari,2.03,5.8,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.5,TBD
Jarkel Joiner,2.0,4.5,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,-0.5,TBD
Jamiya Neal,1.9,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,TBD
James Banks III,1.86,5.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,TBD
Tyson Degenhart,1.85,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,TBD
D'Andre Davis,1.84,3.4,2.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,TBD
James Caron Butler Jr.,1.79,4.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.5,TBD
Steve Crowl,1.77,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,TBD
Patrick McCaffery,1.7,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.5,TBD
Nathan Mensah,1.65,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,-0.5,TBD
Jaden Akins,1.65,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.5,TBD
Izan Almansa,1.54,4.4,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,-0.5,TBD
Romeo Weems,1.53,3.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.5,TBD
Justin McKoy,1.525,5.5,1.5,0.0,1.5,0.0,0.0,1.0,0.0,1.5,2.0,0.75,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,-0.5,TBD
Noah Farrakhan,1.49,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,TBD
Kerwin Walton,1.41,3.1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,8.5,TBD
Hayden Gray,1.29,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,TBD
Ben Gregg,1.24,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.5,TBD
Liam Robbins,1.14,5.9,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,1.0,-0.5,TBD
Yudai Baba,1.1367,2.2,2.5,1.0,1.5,0.667,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5,TBD
Cesare Edwards,1.07,4.2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,-0.5,TBD
J'Wan Roberts,1.03,7.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5,TBD
Josh Uduje,0.88,6.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.5,TBD
Josh Oduro,0.69,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,-0.5,TBD
Dajuan Harris Jr.,0.59,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5,TBD
Keisei Tominaga,0.53,1.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.5,TBD
Lance Ware,0.44,2.4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-0.5,TBD
Zach Hicks,0.44,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5,TBD
Efton Reid III,0.18,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,TBD
